No	ブログ名	URL	主なエリア	釣り方・魚種	判定	備考
1	ブラックサーフのめざせ爆釣！	https://tadahiro0128.hatenablog.com/	千葉外房	アジ・海釣り全般	OK	外房アジ中心・更新活発
2	☆浦安釣日記（明石→大阪）	http://urayasu1fish.blog47.fc2.com/	千葉→大阪	海釣り全般	OK	浦安→明石→大阪・広域カバー
3	55FISHING	https://55fishing.com/	神奈川	海釣り全般	OK	神奈川中心・情報豊富
4	TAKASEAのもう一釣！	https://tsurizuki-takasea.com/	神奈川	ショアジギング・エサ釣り	OK	神奈川海釣り・初心者〜中級
5	外房アジの遠投カゴ釣り日記	https://sotobou-aji.com/	千葉外房・内房	アジ・カゴ釣り	OK	外房アジ専門・詳細な釣行記
6	釣りバカGちゃん釣行記	https://turibakagchan.muragon.com/	千葉	釣行記全般	OK	千葉全域・更新活発
7	千葉県の釣りインストラクター	http://cofiweb.jounin.jp/	千葉	海釣り全般	OK	釣り講習・ボランティア活動
8	天気が良ければそれでいい	https://tenkigaii.com/about	千葉	ルアー	OK	千葉ルアー・釣行記
9	稲毛海岸周辺の釣り	https://chiningstar.muragon.com/	千葉	チニング	OK	稲毛海岸特化・定点観測
10	フィッシング天台	https://tendai.bonnou.org/	千葉内房	シロギス・サヨリ・沖釣り	OK	シロギス情報充実・千葉内房
11	ゆるーく投げ釣り	https://blog.goo.ne.jp/kenoh7	千葉・東京湾	投げ釣り	OK	東京湾投げ釣り初心者目線
12	雷神の男の遊び	http://raijinx4.blog.fc2.com/	千葉房総	シーバス・エギング	OK	房総おかっぱり・食べ歩きも
13	房総半島でクロダイを釣りたい	https://kokoromachi.hatenablog.com	千葉房総	クロダイ	OK	房総クロダイ専門
14	拙者の投げ釣り 関東	https://sessya.air-nifty.com/kanto/	神奈川	大物投げ釣り	OK	観音崎・関東大物投げ
15	猫とウサギと釣りのブログ	https://194mac.jp/	神奈川三浦	海釣り全般	OK	三崎港・北条湾・定点観測
16	す〜さんの海釣り釣行記	https://ameblo.jp/salt-angler1990/	神奈川	青物・海釣り	OK	相模湾・東京湾・江の島
17	西湘釣れている魚なんだろ？	https://ameblo.jp/uminoro26/	神奈川西湘	サーフアジ・フカセ	OK	小田原周辺夜釣り
18	グラナダの路地裏から	https://ameblo.jp/srverde/	神奈川	季節の釣り	OK	神奈川全般・季節釣行
19	新ぶっ込み釣り	https://www.mc-bukkomifishing-blog.com/	神奈川	ぶっ込み釣り	OK	川崎〜横須賀
20	釣り勝（千葉内房）	https://tsurikatsu.net/	千葉	海釣り・釣り場情報	OK	千葉内房特化・動画あり
21	幻の黒鯛	https://akifisher.seesaa.net/	神奈川	クロダイ・チヌ	OK	久里浜・東京湾クロダイ
22	フィッシングディソーダー	https://fishing-disorder.com/	神奈川	ルアー・エギング	OK	神奈川堤防・ライトゲーム
23	1年中チヌ釣りに夢中	https://ameblo.jp/satoshi0720h/	神奈川	チヌ	OK	神奈川チヌ専門
24	BUKKO☆MANCER	https://angler.kuromin.net/	千葉・東京	ぶっ込み釣り	OK	九十九里・東京湾ぶっ込み
25	ニュービギニングの釣り日記2nd	https://bbxsp.seesaa.net/	千葉	シロギス・サヨリ	OK	投げキス・浦安サヨリ
26	またたびモンスター	https://matatabi.monster/	千葉南房総	バイク・釣り	OK	南房総・釣り場情報あり
27	男なら陸から釣れ2	https://taimanfish.blogspot.com/	東京・神奈川	ショアジギ・シーバス	OK	東京湾岸おかっぱり
28	Sweet Dreams	https://bunoruha.blogspot.com	神奈川湘南	海釣り	OK	湘南の主婦アングラー
29	関東【神奈川】釣り場ポイントガイド	https://fishing-spot.net/	神奈川	釣り場情報	OK	神奈川釣り場特化
30	AKIRAの江戸川で釣るぅ？	https://ameblo.jp/xanxan2005/	東京・千葉	シーバス	OK	東京湾奥シーバス
31	soraのブログ	https://ameblo.jp/sora2107/	神奈川・千葉	タチウオルアー	OK	東京湾タチウオルアー
32	気楽な釣り日記（すわたろ）	https://suwataro.muragon.com/	関東	海釣り全般	OK	関東海釣り
