# 地点名|緯度|経度
森戸海岸|35.273776|139.571506
逗子海岸|35.294518|139.577888
辻堂海岸|35.325385|139.445564
浜須賀|35.320141|139.433081
虹ヶ浜|35.315227|139.339575
大磯海水浴場|35.309269|139.319336
照ヶ崎海岸|35.305711|139.315313
御幸ノ浜|35.247624|139.157710
茅ヶ崎西浜|35.319678|139.397545
御宿海岸|35.181000|140.352956
館山港|34.985497|139.845204
富津海水浴場|35.306149|139.813626
久里浜海岸|35.226845|139.711999
津久井浜|35.197402|139.665612
三浦海岸|35.185051|139.655181
一色海岸|35.255000|139.580000
大磯海岸広場|35.3124887|139.3313920
二宮海岸|35.299047|139.262131
国府津海岸|35.280140|139.212635
小八幡海岸|35.2739157|139.2029826
酒匂海岸|35.2620713|139.1866594
山王海岸|35.2558953|139.1750860
片瀬西浜・鵠沼海水浴場|35.308771|139.479586
茅ヶ崎海岸|35.318327|139.399217
菊名海岸|35.168382|139.643431
斉田浜|35.218889|139.622778
秋谷海岸|35.237285|139.603206
長者ヶ崎海岸|35.2544826|139.5796825
大浜海岸|35.2580417|139.5792023
片瀬東浜海水浴場|35.3073343|139.4864056
辻堂海水浴場|35.3180059|139.4528612
茅ヶ崎パーク|35.3169417|139.4156208
平塚海水浴場|35.3144875|139.3548865
北条海水浴場|35.000636|139.858630
部原海岸|35.168363|140.336185
守屋海水浴場|35.137457|140.262372
原岡海水浴場|35.043876|139.832085
岩井海岸|35.090034|139.841993
保田中央海水浴場|35.136815|139.837195
上総湊海水浴場|35.220219|139.867847
大貫中央海水浴場|35.281253|139.852760
大貫海岸|35.283000|139.854018
