name	lat	lon	slug	notes	access	area
富津みなと公園	35.323185	139.818566	futtsu-minato-park	護岸から手軽に狙える公園	青堀駅から徒歩30分	内房
布引海岸	35.306204	139.811751	nunobiki-beach	遠浅の砂浜で投げ釣り向き	青堀駅からバス10分	内房
下洲港	35.30364	139.821713	shimosu-port	赤灯周りが人気の漁港	青堀駅からバス10分	内房
湊川河口	35.216258	139.870663	minatogawa-river-mouth	河口の流れ込みを狙える	上総湊駅から徒歩12分	内房
上総湊港海浜公園	35.226285	139.870666	kazusa-minato-seaside-park	砂浜から投げやすい公園	上総湊駅から徒歩12分	内房
金谷フェリー港	35.169186	139.817351	kanaya-ferry-port	港内岸壁で回遊魚実績	浜金谷駅から徒歩8分	内房
金谷海浜公園	35.167117	139.821368	kanaya-seaside-park	河口横の小波止ポイント	浜金谷駅から徒歩10分	内房
竹岡港	35.207142	139.844132	takeoka-port	港内外を探れる小漁港	竹岡駅から徒歩20分	内房
元名海岸	35.148024	139.83073	motona-beach	静かな浜で投げ釣り向き	保田駅から徒歩20分	内房
保田海岸	35.14017	139.835588	hota-beach	キス狙いで人気の砂浜	保田駅から徒歩10分	内房
保田港吉浜埋立地	35.133486	139.839172	hota-yoshihama-reclaimed	港横で足場が広め	保田駅から徒歩15分	内房
大六港	35.120607	139.833083	dairoku-port	小規模港でイカやクロダイ	安房勝山駅から徒歩20分	内房
龍島港	35.11695	139.829939	ryujima-port	竜ヶ崎堤防が人気	安房勝山駅から徒歩15分	内房
岩井袋港	35.102815	139.828796	iwaibukuro-port	公園下地磯も狙える	安房勝山駅から徒歩25分	内房
岩井海岸	35.090129	139.841956	iwai-beach	広い砂浜で投げ釣り向き	岩井駅から徒歩10分	内房
南無谷海岸	35.062632	139.824783	namuya-beach	静かな浜で人が少なめ	富浦駅からバス10分	内房
富浦旧港	35.029	139.834	tomiura-old-port	小港で初心者も入りやすい	富浦駅から徒歩10分	内房
原岡桟橋	35.043918	139.831902	haraoka-pier	桟橋周りでキス実績	富浦駅から徒歩15分	内房
富浦新港	35.037994	139.828522	tomiura-new-port	東西の波止が定番	富浦駅から徒歩20分	内房
明神岬	35.038906	139.812765	myojin-misaki	岬下の地磯を歩いて狙う	富浦駅から徒歩30分	内房
丸山堤防	35.027173	139.843811	maruyama-breakwater	小堤防でクロダイ実績	那古船形駅から徒歩10分	内房
船形港	35.028463	139.847494	funakata-port	大きめの港で足場良好	那古船形駅から徒歩10分	内房
北条海岸	35.000636	139.85863	hojo-beach	館山湾奥の投げ釣り場	館山駅から徒歩10分	内房
館山夕日桟橋	34.990993	139.853486	tateyama-sunset-pier	長い桟橋で多魚種狙い	館山駅から徒歩20分	内房
館山自衛隊堤防	34.989653	139.841896	tateyama-jieitai-breakwater	人気の堤防で青物期待	館山駅から徒歩20分	内房
沖ノ島	34.990575	139.824868	okinoshima	陸続きの島で変化豊富	館山駅からバス15分	内房
見物堤防	34.973088	139.800655	kenbutsu-breakwater	L字波止の外向きが人気	館山駅からバス20分	内房
洲崎灯台下	34.975291	139.757583	sunosaki-lighthouse-shita	地磯で潮通しが良い	館山駅からバス30分	内房
洲ノ崎西港	34.970788	139.756673	sunosaki-west-port	南端寄りの小漁港	館山駅からバス30分	内房
