name	lat	lon	slug	notes	access	area
稲永公園・庄内川河口	0	0	inae-kouen	ハゼ釣りの名所、公園設備充実でファミリー向き	野跡駅から徒歩5分	伊勢湾
名古屋港ガーデン埠頭	0	0	nagoya-garden-futou	サビキ・ウキ釣り向き、名古屋市内から近い	築地口駅から徒歩15分	伊勢湾
船見埠頭	0	0	funami-futou	クロダイ・シーバスの落とし込み人気ポイント	築地口駅から徒歩20分	伊勢湾
山崎川・堀川河口	0	0	yamazaki-horikawa	河口のシーバス・クロダイ向き、市内からアクセス良	築地口駅から徒歩15分	伊勢湾
新宝緑地・天白川河口	0	0	shinpo-ryokuchi	天白川河口、ハゼ・セイゴ向き、設備充実	名古屋市内バス利用	伊勢湾
飛島埠頭	0	0	tobeshima-futou	大型工業港の護岸、ハゼ・クロダイ・シーバス向き	名古屋市内から車利用	伊勢湾
筏川河口	0	0	ikadagawa-kako	弥富市の河口、セイゴ・クロダイ・ウナギ向き	弥富駅から徒歩20分	伊勢湾
鍋田避難港	0	0	nabeta-hinankō	弥富市の港、カレイ・ハゼ・クロダイ向き	弥富駅から車利用	伊勢湾
新宝緑地（東海市）	0	0	shinpo-tokai	東海市側の護岸、クロダイ・セイゴ・ハゼ向き	名古屋市内から車利用	伊勢湾
新舞子マリンパーク海釣り施設	0	0	shinmaiko-fishing	柵付き整備施設、ファミリー向き、多彩魚種	新舞子駅から徒歩10分	伊勢湾
大野漁港	0	0	ono-gyoko	常滑市の漁港、ハゼ・カレイ・クロダイ向き	大野町駅から徒歩15分	伊勢湾
蒲池漁港	0	0	kamachi-gyoko	常滑市の小漁港、アイナメ・カレイ向き	りんくう常滑駅からバス利用	伊勢湾
常滑りんくう釣り護岸	0	0	rinku-gogan	整備された護岸、クロダイ・キス・アジ向き	りんくう常滑駅から徒歩10分	伊勢湾
常滑港・前島港	0	0	tokoname-maejima	常滑港の護岸・岸壁、カレイ・ハゼ・クロダイ向き	常滑駅から徒歩15分	伊勢湾
榎戸漁港	0	0	enokido-gyoko	常滑市南の漁港、クロダイ・カレイ・メバル向き	常滑駅からバス利用	伊勢湾
苅屋漁港	0	0	kariya-gyoko	常滑南、小漁港でアオリイカ・クロダイ向き	常滑駅からバス利用	伊勢湾
半田港	0	0	handa-ko	半田市の港湾岸壁、クロダイ・ハゼ・セイゴ向き	亀崎駅から徒歩10分	伊勢湾
亀崎港・亀崎海浜緑地	0	0	kamezaki-ko	半田市の整備護岸、クロダイ・セイゴ・サヨリ向き	亀崎駅から徒歩10分	伊勢湾
新居川周辺	0	0	arai-gawa	半田市の河川護岸、セイゴ・ハゼ・クロダイ向き	亀崎駅から徒歩15分	伊勢湾
衣浦トンネル周辺（半田側）	0	0	kinura-tunnel-handa	衣浦港の護岸、クロダイ・メバル・サッパ向き	亀崎駅からバス利用	伊勢湾
武豊緑地	0	0	taketoyo-ryokuchi	電車アクセス可の人気護岸、クロダイ・アジ向き	武豊駅から徒歩20分	伊勢湾
武豊港	0	0	taketoyo-ko	武豊町の漁港、クロダイ・セイゴ・メバル向き	武豊駅から徒歩20分	伊勢湾
富貴港	0	0	fuki-ko	武豊町南の小漁港、クロダイ・カレイ向き	武豊駅からバス利用	伊勢湾
豊浜海釣り公園	0	0	toyohama-fishing-park	釣り桟橋完備、ファミリー向き人気施設	師崎港バスターミナルから徒歩15分	伊勢湾
河和港	0	0	kowa-ko	美浜町の大型港、クロダイ・セイゴ・アジ向き	河和駅から徒歩5分	三河湾
河和漁港	0	0	kowa-gyoko	美浜町の漁港、クロダイ・セイゴ・メバル向き	河和駅から徒歩10分	三河湾
冨具崎漁港	0	0	fuguzaki-gyoko	美浜町の漁港、アオリイカ・クロダイ向き	河和駅からバス利用	三河湾
豊丘港	0	0	toyooka-ko	南知多町の港、クロダイ・セイゴ・メバル向き	河和駅からバス15分	三河湾
大井漁港	0	0	oi-gyoko	南知多町の漁港、クロダイ・アジ・カサゴ向き	河和駅からバス20分	三河湾
片名港	0	0	katana-ko	南知多町の漁港、クロダイ・アジ・アオリイカ向き	師崎港バスターミナルから徒歩15分	三河湾
新師崎港	0	0	shin-morozaki-ko	師崎の新港、クロダイ・アジ・メバル向き	師崎港バスターミナルから徒歩5分	三河湾
師崎港・羽豆岬	0	0	morozaki-hazumisaki	半島最南端、大型クロダイの名ポイント	師崎港バスターミナルから徒歩5分	三河湾
中洲漁港	0	0	nakasu-gyoko	南知多町の漁港、クロダイ・キス・メバル向き	師崎港バスターミナルから徒歩20分	三河湾
山海漁港	0	0	yamiumi-gyoko	南知多町の小漁港、クロダイ・メバル・アジ向き	河和駅からバス25分	三河湾
内海新港	0	0	utsumi-shinko	外洋向き、キス・アオリイカ・アジ向き	内海駅から徒歩20分	三河湾
碧南海釣り広場	0	0	hekinan-fishing	整備された護岸広場、クロダイ・メバル・ハゼ向き	碧南駅からバス10分	三河湾
衣浦トンネル周辺（碧南側）	0	0	kinura-tunnel-hekinan	衣浦港護岸、クロダイ・セイゴ向き	碧南駅からバス10分	三河湾
一色港	0	0	isshiki-ko	西尾市の漁港、クロダイ・キス・ハゼ向き	西尾駅からバス20分	三河湾
真野港	0	0	mano-ko	西尾市の港、クロダイ・セイゴ・ハゼ向き	西尾駅からバス20分	三河湾
矢作古川河口	0	0	yahagi-furukawa-kako	河口のシーバス・クロダイ・ハゼ向き	西尾駅からバス15分	三河湾
吉田新港	0	0	yoshida-shinko	西尾市の護岸、クロダイ・セイゴ・ハゼ向き	西尾駅からバス15分	三河湾
