name	lat	lon	slug	notes	access	area
袖ヶ浦海浜公園北袖エリア	0	0	sodegaura-kitasode	排水口周辺の護岸、キス・シーバス・カレイ向き		東京湾
長浦港	0	0	nagaura-ko	袖ケ浦の大型工業港、キス・カレイ・アナゴ・シーバス向き		東京湾
長浦突堤群	0	0	nagaura-tottei-gun	渡船利用の沖堤防3本、クロダイ・シーバス・根魚向き		東京湾
木更津貯木場	0	0	kisarazu-choukokujo	木更津の護岸、キス・カレイ・アナゴ・シーバス向き		東京湾
見立漁港	0	0	mitate-gyoko	木更津金田の小漁港、ハゼ・クロダイ向き		東京湾
養老川臨海公園	0	0	yorogawa-rinkai-koen	五井河口の護岸公園、シーバス・ハゼ・チヌ向き、一部立禁あり		東京湾
五井沖堤防	0	0	goi-oki-teibo	渡船利用の沖堤防2本、クロダイ・シーバス・キス向き		東京湾
船橋港親水公園	0	0	funabashi-ko-shinsui	常夜灯あり足場良好、ハゼ・カレイ・シーバス・タチウオ向き		東京湾
ふなばし三番瀬海浜公園	0	0	funabashi-sanbanze	干潟と突堤の公園、満潮時推奨、シーバス・クロダイ・ハゼ向き		東京湾
茜浜護岸	0	0	akanehama-gogan	菊田川河口の護岸、シーバス・ハゼ・カレイ・サヨリ向き		東京湾
浦安電波塔護岸	0	0	urayasu-denpato-gogan	テトラ護岸で遠投向き、シーバス・クロダイ・サヨリ向き		東京湾
浦安総合公園護岸	0	0	urayasu-sogo-koen	猫実川河口の護岸、ハゼ・シーバス・キス向き		東京湾
