name	lat	lon	slug	notes	access	area
金谷港	0	0	kanaya-ko	浜金谷駅至近の漁港、テトラでクロダイ・港内でアジ・キス向き		内房
金谷海浜公園前海岸	0	0	kanaya-kaihin-kaigan	金谷川河口隣接の砂浜、シロギス・マゴチ向き		内房
明鐘岬	0	0	myogane-misaki	内房屈指の地磯、クロダイ・メジナ・キス・シーバス向き		内房
大六海岸	0	0	dairoku-kaigan	大六港隣接の砂浜、シロギス中心の投げ釣り場		内房
大六港	0	0	dairoku-ko	港内釣り解禁・駐車場完備、アジ・クロダイ向き		内房
勝山港	0	0	katsuyama-ko	舟藤堤防でメジナ実績、アジ・アオリイカ・クロダイ向き		内房
勝山海岸	0	0	katsuyama-kaigan	勝山港に隣接する砂浜、キス・マゴチ向きサーフ		内房
西ヶ崎地磯	0	0	nishigasaki-jiso	岩井袋公園下の地磯、クロダイ・メジナ・アオリイカ向き		内房
野布良港	0	0	nobura-ko	保田港北側の小港、クロダイ・アジ・メバル向き		内房
高崎港	0	0	takasaki-ko	湾内釣禁・周辺砂地でキス実績高い		内房
小浦港	0	0	koura-ko	港内一部釣禁・駐車場なし、キス・メジナ・アオリイカ向き		内房
石小浦港	0	0	ishikoura-ko	隣接鳩ボラ磯あり、満潮前後推奨、キス・クロダイ向き		内房
岩井海岸	0	0	iwai-kaigan	岩井袋の南に続く砂浜、キス・マゴチ向きサーフ		内房
龍島海岸	0	0	ryujima-kaigan	龍島港隣接の砂浜、シロギス向き投げ釣り場		内房
相浜港	0	0	aihama-ko	布良港隣の小漁港、クロダイ・メジナ・アオリイカ向き		内房
那古海岸	0	0	nago-kaigan	遠浅サーフ＆桟橋、キス・マゴチ・ヒラメ・シーバス向き		内房
