name	lat	lon	slug	notes	access	area
海辺つり公園	0	0	umibe-tsuri-koen	500m無料ボードウォーク、アジ・タチウオ・カレイ向き		三浦半島
大津港新堤防	0	0	otsu-shinteibo	投げ・撒き餌禁止、タチウオ・アジ・クロダイ・サバ向き		三浦半島
走水海岸	0	0	hashirimizu-kaigan	走水アジの聖地、東京湾口で潮速い、アジ・シーバス向き		三浦半島
走水港	0	0	hashirimizu-ko	観音崎基部の小漁港、カワハギ・アジ・メバル向き		三浦半島
鴨居港	0	0	kamoi-ko	東京湾口の潮通し良好な小港、アジ・クロダイ・シーバス向き		三浦半島
野比海岸	0	0	nobi-kaigan	野比川河口南の砂浜、シロギス・マゴチ・ヒラメ向き		三浦半島
長沢海岸	0	0	nagasawa-kaigan	東京湾沿いのサーフ、キス実績高い、長沢港は釣禁注意		三浦半島
三浦海岸	0	0	miura-kaigan	金田湾の広大なサーフ、キス・マゴチ・ヒラメの定番ポイント		三浦半島
北下浦漁港	0	0	kita-shimoura-gyoko	三浦海岸北端の漁港、アジ・キス・クロダイ向き		三浦半島
松輪江奈港	0	0	matsuwa-ena-ko	剱崎基部の漁港、アジ・メジナ・クロダイ・青物向き		三浦半島
宮川港	0	0	miyakawa-ko	三浦南部の静かな小港、岩礁帯でメジナ・クロダイ向き		三浦半島
