name	lat	lon	slug	notes	access	area
和歌山港	0	0	wakayama-ko	和歌山市の主要漁港。アジ、サバ、クロダイ、スズキ、タチウオなど多彩な魚種が狙える。周辺護岸からの釣りが可能。		紀伊水道（和歌山）
雑賀崎漁港	0	0	saigasaki-gyoko	和歌山市の地磯に隣接する漁港。アオリイカ、メバル、カサゴ、クロダイが人気。磯釣りも楽しめる。		紀伊水道（和歌山）
田ノ浦漁港	0	0	tanoura-gyoko	和歌山市の内湾に位置する漁港。アジ、イワシ、メバル、カサゴが狙える初心者向けのスポット。		紀伊水道（和歌山）
片男波海水浴場護岸	0	0	kataonami-gogan	和歌山市の砂浜に隣接する護岸。シロギス、ハゼ、イシモチが主なターゲット。夏季は遊泳客に注意。		紀伊水道（和歌山）
和歌浦漁港	0	0	wakanoura-gyoko	和歌浦湾に面した漁港。クロダイ、アジ、カサゴ、スズキが狙える。景観も良く人気スポット。		紀伊水道（和歌山）
新和歌浦堤防	0	0	shin-wakanoura-tsutsumi	和歌浦湾の堤防。アジ、サバ、タチウオ、アオリイカが狙える。秋のエギングに好評。		紀伊水道（和歌山）
木ノ本漁港	0	0	kinomoto-gyoko	和歌山市北部の漁港。アジ、イワシ、クロダイが狙える。足場がよく家族連れにも適している。		紀伊水道（和歌山）
加太漁港	0	0	kada-gyoko	和歌山市加太の漁港。マダイ、アジ、イサキの好漁場として有名。船釣りの基地としても利用される。		紀伊水道（和歌山）
加太海岸	0	0	kada-kaigan	加太漁港周辺の海岸。シロギス、カレイ、ハゼが狙える。砂浜と岩礁が混在するポイント。		紀伊水道（和歌山）
深山護岸	0	0	miyama-gogan	友ヶ島水道に近い護岸。マダイ、アジ、イサキ、アオリイカが狙える潮通しの良いスポット。		紀伊水道（和歌山）
磯ノ浦海岸	0	0	isonoura-kaigan	和歌山市の砂浜海岸。シロギス、ハゼの投げ釣りが人気。夏季は海水浴場として混雑する。		紀伊水道（和歌山）
紀ノ川河口	0	0	kinokawa-kako	和歌山市の紀ノ川河口。スズキ、クロダイ、ハゼが狙える。シーバスの好ポイントとして知られる。		紀伊水道（和歌山）
高須漁港	0	0	takasu-gyoko	和歌山市高須の漁港。アジ、イワシ、サバの回遊あり。ウキ釣りやサビキ釣りが人気。		紀伊水道（和歌山）
海南漁港	0	0	kainan-gyoko	海南市の漁港。クロダイ、スズキ、アジが狙える。市街地からのアクセスが良い。		紀伊水道（和歌山）
下津漁港	0	0	shimotsu-gyoko	海南市下津の漁港。アジ、サバ、クロダイ、メバルが狙える。堤防からの釣りが定番。		紀伊水道（和歌山）
塩津漁港	0	0	shiotsu-gyoko	海南市塩津の小さな漁港。カサゴ、メバル、アオリイカが狙える。地元アングラーに人気。		紀伊水道（和歌山）
冷水浦漁港	0	0	shimizu-gyoko	海南市冷水浦の漁港。アジ、クロダイ、アオリイカが狙える。秋のエギングシーズンに混む。		紀伊水道（和歌山）
初島漁港	0	0	hatsushima-gyoko	有田市初島の漁港。アジ、クロダイ、スズキが狙える。有田川河口にも近く多彩な魚種が集まる。		紀伊水道（和歌山）
有田川河口	0	0	aridagawa-kako	有田市の有田川河口。スズキ、クロダイ、ハゼが狙える。干潮時の干潟付近もポイント。		紀伊水道（和歌山）
箕島漁港	0	0	minoshima-gyoko	有田市箕島の漁港。サバ、アジ、イワシのサビキ釣りが人気。クロダイも狙える。		紀伊水道（和歌山）
広川河口	0	0	hirokawa-kako	広川町の広川河口。スズキ、クロダイ、ハゼが主なターゲット。河川と海の交差点で魚が集まりやすい。		紀伊水道（和歌山）
広川漁港	0	0	hirokawa-gyoko	広川町の漁港。アジ、メバル、カサゴが狙える。こじんまりとした港で穴釣りも楽しめる。		紀伊水道（和歌山）
湯浅漁港	0	0	yuasa-gyoko	湯浅町の漁港。アジ、クロダイ、タチウオが狙える。湯浅湾の入り口に位置し潮通し良好。		紀伊水道（和歌山）
栖原海岸	0	0	sudahara-kaigan	湯浅町の海岸。シロギス、カレイの投げ釣りが人気。砂浜と護岸が続く釣りやすいポイント。		紀伊水道（和歌山）
広浜漁港	0	0	hirohama-gyoko	広川町の漁港。アジ、サバ、クロダイが狙える。家族連れにも適した足場の良い漁港。		紀伊水道（和歌山）
衣奈漁港	0	0	kina-gyoko	有田郡湯浅町衣奈の漁港。メバル、カサゴ、アオリイカが狙える。秋冬の根魚釣りに定評あり。		紀伊水道（和歌山）
由良漁港	0	0	yura-gyoko	日高郡由良町の漁港。アジ、クロダイ、アオリイカ、スズキが狙える。紀伊水道に面し多彩。		紀伊水道（和歌山）
白崎海岸	0	0	shirasaki-kaigan	由良町の石灰岩が連なる海岸。イシダイ、メジナ、クロダイが磯から狙える人気の磯釣りポイント。		紀伊水道（和歌山）
煙樹ヶ浜	0	0	entsuigahama	美浜町の砂礫海岸。シロギス、カレイ、スズキの投げ釣りが有名。紀伊水道屈指の投げ釣りポイント。		紀伊水道（和歌山）
和田漁港	0	0	wada-gyoko	日高郡美浜町和田の漁港。アジ、クロダイ、アオリイカが狙える。波静かで釣りやすい環境。		紀伊水道（和歌山）
三尾漁港	0	0	mio-gyoko	美浜町三尾の漁港。アジ、サバ、カサゴ、アオリイカが狙える。地磯への渡船基地でもある。		紀伊水道（和歌山）
西の地磯（美浜）	0	0	mio-jiiso	美浜町三尾周辺の地磯。メジナ、イシダイ、クロダイが狙える本格的な磯釣りポイント。		紀伊水道（和歌山）
御坊漁港	0	0	gobo-gyoko	御坊市の漁港。アジ、サバ、タチウオ、スズキが狙える。日高川河口も近く魚種豊富。		紀伊水道（和歌山）
日高川河口	0	0	hidakagawa-kako	御坊市の日高川河口。スズキ、クロダイ、ハゼが狙える。サビキ釣りではアジ、イワシも回遊。		紀伊水道（和歌山）
塩屋漁港	0	0	shioya-gyoko	御坊市塩屋の漁港。アジ、クロダイ、メバルが狙える。港内は水深があり多彩な魚種が狙える。		紀伊水道（和歌山）
芳養漁港	0	0	haya-gyoko	田辺市芳養の漁港。アジ、アオリイカ、クロダイが狙える。田辺湾の入り口付近で潮通し良好。		紀伊水道（和歌山）
田辺漁港	0	0	tanabe-gyoko	田辺市の主要漁港。アジ、クロダイ、タチウオ、スズキが通年狙える。アクセス良好で人気。		紀伊水道（和歌山）
文里港	0	0	momori-ko	田辺市の港。アジ、サバ、クロダイが狙える。田辺湾奥に位置し穏やかな釣り環境。		紀伊水道（和歌山）
新庄漁港	0	0	shinjo-gyoko	田辺市新庄の漁港。メバル、カサゴ、アオリイカが狙える。小規模ながら常連アングラーに人気。		紀伊水道（和歌山）
磯間漁港	0	0	isoma-gyoko	田辺市磯間の漁港。クロダイ、アジ、アオリイカが狙える。田辺湾内で波静かな釣り場。		紀伊水道（和歌山）
会津川河口	0	0	aizugawa-kako	田辺市の会津川河口。スズキ、クロダイ、ハゼが狙える。夜釣りのスズキ狙いで有名なポイント。		紀伊水道（和歌山）
内の浦湾護岸	0	0	uchinourawanko-gogan	田辺市内の浦湾の護岸。アジ、メバル、クロダイが狙える。穏やかな内湾で釣りやすい環境。		紀伊水道（和歌山）
秋津川河口	0	0	akitsugawa-kako	田辺市の秋津川河口付近。スズキ、クロダイ、ハゼが主なターゲット。干潮時のチニングが人気。		紀伊水道（和歌山）
江須崎漁港	0	0	ezusaki-gyoko	西牟婁郡すさみ町江須崎の漁港。アオリイカ、カサゴ、クロダイ、メジナが狙える。磯釣りの基地。		紀伊水道（和歌山）
富田川河口	0	0	tomidagawa-kako	白浜町の富田川河口。スズキ、クロダイ、ハゼが狙える。砂浜に囲まれた河口ポイント。		紀伊水道（和歌山）
白浜漁港	0	0	shirahama-gyoko	白浜町の漁港。アジ、クロダイ、アオリイカが狙える。観光地に隣接するが実績高いポイント。		紀伊水道（和歌山）
椿漁港	0	0	tsubaki-gyoko	西牟婁郡白浜町椿の漁港。メバル、カサゴ、アオリイカ、クロダイが狙える静かな漁港。		紀伊水道（和歌山）
日置漁港	0	0	hioki-gyoko	西牟婁郡白浜町日置の漁港。アジ、クロダイ、アオリイカが狙える。日置川河口も近く魚種豊富。		紀伊水道（和歌山）
日置川河口	0	0	hiokigawa-kako	白浜町の日置川河口。スズキ、クロダイ、ハゼが狙える。河口の広いポイントで投げ釣りも可能。		紀伊水道（和歌山）
串本漁港	0	0	kushimoto-gyoko	串本町の漁港。マダイ、アジ、スズキ、アオリイカが狙える。紀伊水道と太平洋の交差点で魚種豊富。		紀伊水道（和歌山）
紀伊日置海岸	0	0	kii-hioki-kaigan	白浜町日置の海岸。シロギス、カレイの投げ釣りが人気。砂浜が続きキス釣りの好ポイント。		紀伊水道（和歌山）
