name	lat	lon	slug	notes	access	area
新居弁天海釣公園	0	0	arai-benten-fishing-park	T字堤防5基、初心者・ファミリー向け好適地	新居町駅から徒歩15分	遠州灘
舞阪堤・網干場	0	0	maisaka-tsutsumi	今切口クロダイの名所、上級者向け急流ポイント	弁天島駅から徒歩20分	遠州灘
弁天島海浜公園	0	0	bentenjima-kaihin	浜名湖南端、護岸・砂浜でクロダイ・キス狙い	弁天島駅から徒歩5分	遠州灘
中田島砂丘・遠州灘海岸	0	0	nakatajima-enshunada	広大なサーフ、ヒラメ・キス・投げ釣り向き	浜松駅からバス30分	遠州灘
天竜川河口・竜洋海洋公園	0	0	tenryugawa-ryuyo	天竜川河口でシーバス・ヒラメ・キス狙い	磐田駅からバス20分	遠州灘
鮫島海岸	0	0	samejima-kaigan	遠浅サーフ、投げ釣りでキス・イシモチ向き	磐田駅からバス25分	遠州灘
福田漁港	0	0	fukuda-gyoko	広い岸壁に車横付け可、ファミリー向き好適地	磐田駅からバス30分	遠州灘
福田ビーチ・同笠海岸	0	0	fukuda-beach	遠州灘サーフ、ヒラメ・キス・イシモチ向き	磐田駅からバス30分	遠州灘
弁財天海浜公園・大須賀海岸	0	0	benzaiten-osuka	掛川市の遠州灘サーフ、投げ釣り好適	掛川駅からバス25分	遠州灘
菊川河口・大東海洋公園	0	0	kikugawa-daito	菊川河口、シーバス・キス・ルアー向き	菊川駅からバス20分	遠州灘
浜岡砂丘・千浜海岸	0	0	hamaoka-chihama	大砂丘が続く豪快なサーフ、ヒラメ・キス向き	御前崎市内バス利用	遠州灘
御前崎港	0	0	omaezaki-ko	大型港で多彩魚種、青物・アオリイカ・アジ	御前崎市内バス利用	遠州灘
マリンパーク御前崎	0	0	marine-park-omaezaki	整備された護岸・公園、初心者・ファミリー向き	御前崎市内バス利用	遠州灘
御前崎ロングビーチ	0	0	omaezaki-longbeach	御前崎周辺サーフ、ヒラメ・キス・ルアー向き	御前崎市内バス利用	遠州灘
地頭方港	0	0	jitokata-ko	牧之原市の小漁港、足場良く初心者にも向く	相良牧之原ICよりバス利用	駿河湾
相良港・さがらサンビーチ	0	0	sagara-ko	穏やかな港と砂浜、キス・クロダイ・投げ釣り	相良牧之原ICよりバス利用	駿河湾
坂井港	0	0	sakai-ko	小規模漁港、静波海岸隣接、穴場ポイント	相良牧之原ICよりバス利用	駿河湾
静波海水浴場・勝間田川河口	0	0	shizunami-kaigan	遠浅の砂浜、キス・投げ釣りに定評あり	相良牧之原ICよりバス利用	駿河湾
坂口谷川・八軒屋海岸	0	0	sakaguchitani-hachinya	吉田町海岸、キス・ルアー向きサーフ	吉田駅から徒歩20分	駿河湾
吉田港	0	0	yoshida-ko	吉田町漁港、サビキでアジ・イワシ・シラス狙い	吉田駅から徒歩25分	駿河湾
大井川港・大井川河口	0	0	oigawa-ko	大型港、河口でシーバス・ヒラメ・大物も	吉田駅からバス10分	駿河湾
高新田浜公園	0	0	takashinden-hama	焼津市の護岸公園、青物・アジ・投げ釣り向き	焼津駅からバス15分	駿河湾
田尻浜海岸・藤守海岸	0	0	tajiri-fujimori	焼津の砂浜、キス・ヒラメ向きサーフ	焼津駅からバス15分	駿河湾
石津浜公園	0	0	ishizuhama-park	青物・アオリイカ好ポイント、潮当たり良好	焼津駅からバス15分	駿河湾
焼津漁港親水広場（ふぃしゅーな）	0	0	fishuna-yaizu	整備された釣り場、初心者向き、設備充実	焼津駅から徒歩20分	駿河湾
小川港	0	0	ogawa-ko	車横付け可、アジ・タチウオ・キスなど多彩	焼津駅から徒歩25分	駿河湾
焼津港	0	0	yaizu-ko	大型遠洋漁港、青物・クロダイ・アジなど	焼津駅から徒歩20分	駿河湾
用宗漁港	0	0	mochimune-ko	駅から徒歩圏、汽水港で魚種多彩	用宗駅から徒歩15分	駿河湾
広野海岸公園	0	0	hirono-kaigankouen	用宗港隣接の護岸公園、投げ釣り・ルアー向き	用宗駅から徒歩15分	駿河湾
安倍川河口	0	0	abegawa-kako	安倍川河口、シーバス・ヒラメ・マゴチ向き	用宗駅から徒歩20分	駿河湾
大浜海岸・大浜公園	0	0	ohama-kaigan	静岡市駿河区の砂浜、キス・ルアー向きサーフ	静岡駅からバス15分	駿河湾
大谷川河口・放水路記念公園	0	0	otanigawa-hosui	河口護岸、シーバス・ハゼ・投げ釣り向き	静岡駅からバス15分	駿河湾
清水港富士見埠頭	0	0	shimizu-fujimi	清水港内、アジ・クロダイ・アオリイカ向き	清水駅から徒歩20分	駿河湾
三保飛行場前海岸	0	0	miho-hikojo	全国屈指の青物ポイント、イナダ・マダイ狙い	清水駅からバス25分	駿河湾
三保松原・駒越海岸	0	0	miho-komagoe	松原に隣接する砂浜、キス・ルアー・青物向き	清水駅からバス20分	駿河湾
興津川河口	0	0	okitsu-kako	清水区の河口、シーバス・ヒラメ向きポイント	興津駅から徒歩10分	駿河湾
由比漁港・由比川河口	0	0	yui-gyoko	小漁港と河口、クロダイ・アオリイカ向き	由比駅から徒歩15分	駿河湾
蒲原海岸	0	0	kambara-kaigan	穏やかな砂浜、投げ釣りでキス・イシモチ	蒲原駅から徒歩10分	駿河湾
田子の浦みなと公園	0	0	tagonoura-minato	富士山を望む整備公園、アジ・クロダイ向き	富士駅からバス15分	駿河湾
富士川河口・富士川緑地	0	0	fujikawa-kako	日本一河口幅の大河、ヒラメ・シーバス向き	富士川駅から徒歩15分	駿河湾
三軒屋海岸	0	0	sangenya-kaigan	磐田市の遠州灘サーフ、キス・ヒラメ向き	JR磐田駅からバス25分	遠州灘
