name	lat	lon	slug	notes	access	area
熱海港海釣り施設	0	0	atami-ko-umizuri	有料・レンタルあり、水深深くアジ・メジナ・クロダイ向き		東伊豆
初島	0	0	hatsushima	渡船利用の離島、大型メジナ・イサキ・青物向き		東伊豆
伊東港	0	0	ito-ko	東伊豆最大の港、回遊魚・カマス・クロダイ・アオリイカ向き		東伊豆
サンハトヤ裏	0	0	sunhatoya-ura	伊東の穴場テトラ帯、オールシーズンメジナ向き		東伊豆
汐吹公園	0	0	shiofuki-koen	川奈の磯公園、水深あり磯釣り入門向き、クロダイ向き		東伊豆
富戸港	0	0	futo-ko	城ヶ崎基部の小漁港、4〜9月アオリイカ禁止、メジナ向き		東伊豆
城ヶ崎磯	0	0	jogasaki-iso	関東屈指の一級磯、メジナ・イシダイ・青物向き上級者向け		東伊豆
稲取港	0	0	inatorigawa-ko	東伊豆を代表する大型港、アジ・青物・カマス・アオリイカ向き		東伊豆
見高港	0	0	mitaka-ko	今井浜北の小漁港、クロダイ・メジナ・アオリイカ向き		東伊豆
河津浜	0	0	kawazu-hama	河津川河口のサーフ＆磯、キス・クロダイ・ヒラスズキ向き		東伊豆
下田港犬走堤防	0	0	shimoda-ko-inubashiri	サビキのメッカ、アジ・サバ・イワシ・クロダイ向き		東伊豆
