name	lat	lon	slug	notes	access	area
熱海港海釣り施設	35.0918	139.0742	atami-fishing-facility	管理された公式施設、貸竿あり初心者向き	熱海駅からバス10分	東伊豆
長浜海浜公園	35.0892	139.0582	nagahama-kaihin	熱海市の護岸公園、ゴロタ浜でメジナ・アオリイカ向き	熱海駅からバス5分	東伊豆
下多賀港	35.0688	139.0728	shimotaga-ko	熱海市の小漁港、アジ・メジナ・アオリイカ向き	伊豆多賀駅から徒歩5分	東伊豆
網代港	35.0462	139.0768	ajiro-ko	温泉地に隣接、堤防でアジ・メジナ・クロダイ向き	伊豆多賀駅から徒歩20分	東伊豆
宇佐美港	35.0188	139.0928	usami-ko	伊東市北の漁港、防波堤から多彩魚種が狙える	宇佐美駅から徒歩15分	東伊豆
なぎさ公園・新井堤防	34.9775	139.0958	nagisa-kouen	伊東湾内の護岸公園、ファミリー向き	伊東駅から徒歩15分	東伊豆
川奈いるか浜公園	34.9568	139.1038	kawana-iruka	砂浜と小堤防、キス・クロダイ・青物向き	川奈駅から徒歩10分	東伊豆
富戸港	34.9282	139.1152	futo-ko	城ヶ崎近く、磯とゴロタ、メジナ・アオリイカ向き	富戸駅から徒歩10分	東伊豆
八幡野港	34.9118	139.1182	yahano-ko	城ヶ崎南の漁港、アジ・メジナ・青物・アオリイカ	伊豆高原駅から徒歩25分	東伊豆
赤沢海岸	34.8978	139.1232	akazawa-kaigan	ゴロタ浜中心、メジナ・クロダイ・アオリイカ向き	伊豆高原駅からバス10分	東伊豆
伊豆大川港	34.8752	139.1268	izu-okawa-ko	東伊豆町北端の小漁港、アジ・アオリイカ向き	伊豆大川駅から徒歩5分	東伊豆
北川港	34.8598	139.1288	kitagawa-ko	東伊豆町の小港、アジ・メジナ・アオリイカ向き	伊豆北川駅から徒歩5分	東伊豆
熱川海水浴場前	34.8432	139.1302	niekawa-beach	ゴロタ浜護岸、メジナ・アオリイカ向き、温泉地隣接	伊豆熱川駅から徒歩3分	東伊豆
片瀬白田海岸	34.8288	139.1318	katase-shirota	小規模護岸・ゴロタ、メジナ・クロダイ向き	片瀬白田駅から徒歩5分	東伊豆
稲取港	34.7978	139.1368	inatori-ko	東伊豆町の主要漁港、アジ・ブリ系・アオリイカ向き	伊豆稲取駅から徒歩10分	東伊豆
今井浜海岸	34.7752	139.1118	imaihama-beach	河津町の砂浜・ゴロタ、キス・メジナ・アオリイカ向き	今井浜海岸駅から徒歩5分	東伊豆
波来港	34.7638	139.0988	namikiri-ko	河津町の小漁港、アジ・メジナ・アオリイカ向き	河津駅からバス15分	東伊豆
菖蒲沢海岸	34.7548	139.0882	shobuzawa-kaigan	河津町のゴロタ浜、メジナ・クロダイ・アオリイカ向き	河津駅からバス20分	東伊豆
板戸港	34.6962	138.9618	itato-ko	下田市北の小漁港、アジ・メジナ・アオリイカ向き	蓮台寺駅からバス10分	南伊豆
外浦海水浴場	34.6778	138.9298	sotourahama	下田市の穏やかな砂浜・護岸、キス・ウキ釣り向き	下田駅からバス15分	南伊豆
須崎港	34.6552	138.9438	suzaki-ko	下田市の静かな内湾港、クロダイ・アオリイカ・アジ向き	下田駅からバス20分	南伊豆
まどが浜海遊公園	34.6778	138.9468	madogahama-park	整備された護岸公園、ファミリー向き	下田駅から徒歩15分	南伊豆
道の駅 開国下田みなと周辺	34.6782	138.9448	shimoda-michinoeki	下田港護岸、サビキ・ウキ釣り向き	下田駅から徒歩10分	南伊豆
多々戸浜海水浴場	34.6632	138.9582	tadadohama	下田南側の砂浜、キス・ルアー向きサーフ	下田駅からバス15分	南伊豆
田牛海水浴場	34.6488	138.9652	touji-beach	下田南東の入り江、メジナ・アオリイカ・磯釣り向き	下田駅からバス20分	南伊豆
弓ヶ浜海水浴場・青野川河口	34.6282	138.8678	yumigahama-aonogawa	南伊豆最南部の広い砂浜、キス・河口シーバス向き	下田駅からバス25分	南伊豆
下流港	34.6412	138.8568	karyuu-ko	南伊豆町の小漁港、クロダイ・アオリイカ向き	下田駅からバス30分	南伊豆
大瀬漁港	34.6378	138.8378	osegyoko	南伊豆町の漁港、磯釣り・アオリイカ・アジ向き	下田駅からバス35分	南伊豆
入間港	34.6082	138.8028	iruma-ko	南伊豆西岸の小漁港、メジナ・アオリイカ向き	下田駅からバス40分	南伊豆
妻良港	34.6228	138.7688	mera-ko	静かな入り江の漁港、アジ・メジナ・アオリイカ向き	下田駅からバス35分	南伊豆
子浦海水浴場	34.6378	138.7518	koura-beach	南伊豆西岸の砂浜・護岸、アジ・メジナ・キス向き	下田駅からバス30分	南伊豆
伊浜漁港	34.6438	138.7298	ihama-gyoko	南伊豆最西部の漁港、磯・メジナ・アオリイカ向き	下田駅からバス40分	南伊豆
雲見海岸	34.6622	138.7122	kumomi-kaigan	松崎町南の地磯・海岸、メジナ・アオリイカ向き	松崎方面バス利用	西伊豆
石部海水浴場	34.6742	138.7248	ishibu-beach	松崎町の砂浜・ゴロタ、キス・アオリイカ向き	松崎方面バス利用	西伊豆
岩地海水浴場	34.6888	138.7338	iwachi-beach	入り江の砂浜、キス・メジナ・アオリイカ向き	松崎方面バス利用	西伊豆
松崎港・松崎新堤	34.7118	138.7818	matsuzaki-ko	松崎町の主要港、堤防で多彩魚種、アジ・クロダイ	松崎方面バス利用	西伊豆
仁科漁港	34.7278	138.7658	nishina-ko	西伊豆町の漁港、アオリイカ・メジナ・アジ向き	西伊豆町バス利用	西伊豆
