name	lat	lon	slug	notes	access	area
豊洲ぐるり公園	0	0	toyosu-gururi-koen	4km護岸・常夜灯あり、投げ禁止、シーバス・タチウオ向き		東京湾
春海橋公園	0	0	harumibashi-koen	ドック跡で水深あり、投げ・撒き餌禁止、シーバス・クロダイ向き		東京湾
都立潮風公園	0	0	shiokaze-koen	お台場の護岸、投げ・撒き餌禁止、シーバス・クロダイ・ハゼ向き		東京湾
お台場海浜公園	0	0	odaiba-kaihin-koen	砂浜両端磯のみ可、ルアー・投げ禁止、ハゼ・シーバス向き		東京湾
新木場公園	0	0	shinkiba-koen	砂町運河沿い、バーベキュー併設、ハゼ・シーバス・クロダイ向き		東京湾
葛西臨海公園	0	0	kasai-rinkai-koen	一部釣禁・投げ・撒き餌禁止、ハゼ・シーバス・クロダイ向き		東京湾
京浜島つばさ公園	0	0	keihinjima-tsubasa-koen	羽田対岸・柵あり護岸、シーバス・クロダイ・アジ・カレイ向き		東京湾
大森ふるさとの浜辺公園	0	0	omori-furusato-hamabe	砂浜釣禁・投げ禁止、磯護岸のみ延べ竿可、ハゼ向き		東京湾
潮見運動公園	0	0	shiomi-undo-koen	投げ禁止・常夜灯あり、クロダイ実績高くシーバス・ハゼ向き		東京湾
豊海運動公園	0	0	toyomi-undo-koen	朝潮運河沿い全面釣可・常夜灯あり、シーバス・ハゼ・カレイ向き		東京湾
