name	lat	lon	slug	notes	access	area
那智勝浦港	0	0	nachi-katsuura-port	和歌山県東牟婁郡の主要漁港。アジ・サバ・カマス・スズキ・クロダイ・アオリイカが狙える。堤防・岸壁から手軽に釣れる好ポイント。		熊野灘
勝浦漁港南堤防	0	0	katsuura-south-breakwater	那智勝浦港南側の堤防。アジ・メバル・カサゴ・アオリイカが狙え、夜釣りでのスズキも実績あり。		熊野灘
新宮港	0	0	shingu-port	新宮市の大型港湾。クロダイ・スズキ・アジ・ハゼが狙える。熊野川河口に近く、多彩な魚種が集まりやすい。		熊野灘
熊野川河口	0	0	kumano-river-mouth	新宮市南部の河口域。スズキ・クロダイ・ハゼが主なターゲット。淡水との混合域で良型スズキの実績が高い。		熊野灘
三輪崎漁港	0	0	miwasaki-port	新宮市三輪崎の小規模漁港。アジ・カサゴ・メバル・アオリイカが狙える。比較的空いており穴場的スポット。		熊野灘
宇久井漁港	0	0	ukui-port	那智勝浦町宇久井の漁港。アジ・クロダイ・メバル・アオリイカが狙える。熊野灘に面し底物も豊富。		熊野灘
太地漁港	0	0	taiji-port	太地町の漁港。アジ・サバ・カマス・アオリイカが狙える。クジラの町としても有名で、堤防からの回遊魚実績が高い。		熊野灘
串本港	0	0	kushimoto-port	串本町の大型港。アジ・クロダイ・スズキ・アオリイカ・ヒラメが狙える。熊野灘と太平洋の交差点で魚影が濃い。		熊野灘
袋漁港	0	0	fukuro-port	串本町袋の漁港。アジ・メバル・カサゴ・アオリイカが狙える。穏やかな湾内で初心者にも入りやすい環境。		熊野灘
田原漁港	0	0	tahara-port-kushimoto	串本町田原の小漁港。アオリイカ・メバル・カサゴ・クロダイが狙える。磯近くに位置し根魚の実績が高い。		熊野灘
有田漁港（串本）	0	0	arida-port-kushimoto	串本町有田の漁港。アジ・アオリイカ・カサゴ・クロダイが狙える。熊野灘側に開けており回遊魚も期待できる。		熊野灘
古座漁港	0	0	koza-port	串本町古座の漁港。アジ・クロダイ・スズキ・アオリイカが狙える。古座川河口に近く、多魚種が期待できる好漁港。		熊野灘
古座川河口	0	0	koza-river-mouth	串本町の古座川河口域。スズキ・クロダイ・ハゼが主なターゲット。河口ならではの良型スズキ実績が高い。		熊野灘
下里漁港	0	0	shimosato-port	那智勝浦町下里の漁港。アジ・サバ・カマス・アオリイカが狙える。静かな環境で家族連れにも向くポイント。		熊野灘
浦神漁港	0	0	uragami-port	那智勝浦町浦神の小漁港。メバル・カサゴ・アオリイカ・クロダイが狙える。入り江状の地形で穏やかに釣れる。		熊野灘
湯川漁港	0	0	yukawa-port	那智勝浦町湯川の漁港。アジ・メバル・カサゴ・アオリイカが狙える。温泉地に近い小規模港で穴場的ポイント。		熊野灘
色川地磯（二の字磯）	0	0	irokawa-jiso-ninoji	那智勝浦町周辺の地磯。イシダイ・メジナ・クロダイ・ヒラマサが狙える。熊野灘の荒磯で良型実績あり。磯靴・ライフジャケット必須。		熊野灘
楯ヶ崎地磯	0	0	tategasaki-jiso	熊野市の楯ヶ崎周辺地磯。イシダイ・メジナ・クロダイ・カサゴが狙える。アクセスに徒歩が必要で上級者向け。		熊野灘
阿田和漁港	0	0	atawa-port	熊野市阿田和の漁港。アジ・クロダイ・スズキ・アオリイカが狙える。七里御浜に近く、熊野灘の魚が集まりやすい。		熊野灘
井田漁港	0	0	ida-port-kumano	熊野市井田町の漁港。アジ・メバル・カサゴ・クロダイが狙える。小規模ながら魚影が濃く穴場的なポイント。		熊野灘
鬼ヶ城周辺地磯	0	0	onigajo-jiso	熊野市の鬼ヶ城周辺の地磯。イシダイ・メジナ・クロダイ・カサゴが狙える。景勝地に隣接し足場に注意が必要。		熊野灘
波田須漁港	0	0	hatasu-port	熊野市波田須の小漁港。アジ・メバル・カサゴ・アオリイカが狙える。熊野灘に面した静かな漁村の穴場ポイント。		熊野灘
磯崎漁港	0	0	isakizaki-port	熊野市磯崎の小漁港。アジ・クロダイ・カサゴ・アオリイカが狙える。地元の釣り人に親しまれるアクセスしやすいポイント。		熊野灘
飛鳥漁港	0	0	asuka-port-kumano	熊野市飛鳥町の漁港。アジ・スズキ・クロダイ・アオリイカが狙える。七里御浜沿いに位置し砂浜からのキス釣りも可能。		熊野灘
七里御浜	0	0	shichiri-mihama	熊野市から御浜町にかけての全長22kmの砂浜海岸。シロギス・スズキ・イシモチ・ヒラメが狙えるサーフ釣りの名所。		熊野灘
