name	lat	lon	slug	notes	access	area
盤洲干潟	35.4137465	139.8993015	banzu-higata	小櫃川河口の広大干潟、シーバス・マゴチ・ウェーディング向き	龍宮城スパ・ホテル三日月バス停から徒歩15分	東京湾
千葉港中央ふ頭（千葉ポートパーク）	35.5967399	140.0904465	chiba-ko-chuo-futo	500m護岸で柵付き、アジ・サビキ・カレイ・シーバス向き	千葉ポートタワーバス停から徒歩15分	東京湾
富津岬	35.3126038	139.7852325	futtsu-misaki	東京湾口の潮流速い岬、キス・シーバス投げ釣り場、遠浅注意	富津公園バス停から徒歩30分	東京湾
富津新港	35.3257963	139.8213458	futtsu-shinko	西防波堤立入禁止、港内でキス・カレイ・クロダイ・アジ向き	大乗寺前バス停から徒歩30分	東京湾
市原海づり施設（オリジナルメーカー海づり公園）	35.5426766	140.060513	ichihara-umizuri-shisetsu	有料桟橋型施設で道具レンタルあり、アジ・サヨリ・カレイ向き	市原市方面から車利用	東京湾
市川港	35.6738575	139.9550486	ichikawa-ko	行徳港とも呼ばれる小漁港、ハゼ・シーバス向き、一部釣禁あり	市川市方面から車利用	東京湾
稲毛海浜公園	35.6176747	140.0609207	inage-kaihin-koen	砂浜は釣禁、検見川浜突堤・小堤防がメイン、メバル・シーバス向き	花の美術館バス停から徒歩10分	東京湾
金田みたて海岸	35.4314072	139.9035931	kaneda-mitate-kaigan	盤洲干潟に面した遠浅、潮位変化で釣り場が変わる	コストコ木更津バス停から徒歩20分	東京湾
検見川浜突堤	35.6264657	140.0483894	kemigawahama-tottei	500m幅広突堤で柵付き、サビキ・シーバス・青物・タチウオ向き	千葉西高校バス停から徒歩20分	東京湾
木更津港	35.3825423	139.9162745	kisarazu-ko	内港・鳥居崎の各護岸、ハゼ・スズキ・カレイ・アナゴ向き	鳥居崎海浜公園前バス停から徒歩5分	東京湾
木更津潮浜公園	35.3788333	139.9079704	kisarazu-shiohama-koen	遠浅の小公園、満潮狙いでハゼ・シーバス・クロダイ向き	鳥居崎海浜公園前バス停から徒歩15分	東京湾
久津間海岸	35.4077479	139.9001598	kuzuma-kaigan	盤洲干潟の一角の潮干狩り場、ハゼ・キス向き遠浅サーフ	下久津間バス停から徒歩25分	東京湾
中の島公園	35.3850658	139.9118167	nakanoshima-koen	木更津港内の島の護岸、ハゼ・シーバス向き、満潮狙い	鳥居崎海浜公園前バス停から徒歩15分	東京湾
高洲海浜公園	35.6309306	139.9217892	takasu-kaihin-koen	浦安の1km護岸、テトラ有で投釣り基本、ハゼ・キス・シーバス向き	高洲七丁目バス停から徒歩15分	東京湾
牛込海岸	35.4438723	139.9416804	ushigome-kaigan	潮干狩り場に隣接の遠浅砂浜、ハゼ・キス向き	キサラピアバス停から徒歩20分	東京湾
