name	lat	lon	slug	notes	access	area
船形港	35.0244928	139.8456146	funakata-port	館山北側の中規模港、アジ・クロダイ・アオリイカ向き	船形小前バス停から徒歩5分	内房
平砂浦	34.9442	139.8108	heisaura	6kmに及ぶ広大サーフ、キス・ヒラメ・アオリイカ向き	布沼大石弁天バス停から徒歩5分	内房
保田海岸	35.1411969	139.8348883	hota-beach	金谷南の砂浜、投げ釣りでキス中心	保田駅から徒歩5分	内房
岩井袋港	35.1019022	139.8297049	iwaibukuro-port	小規模港で水深あり、クロダイ・メジナ・アオリイカ向き	富山地域センターバス停から徒歩25分	内房
上総湊港	35.218864	139.8657632	kazusa-minato-ko	内房では珍しい大型港、回遊魚・コウイカ・クロダイ向き	湊橋［富津市］バス停から徒歩10分	内房
上総湊港海浜公園	35.224041	139.8705845	kazusa-minato-seaside-park	砂浜の突堤から投げ釣り、キス・ハゼ向き	上総湊駅前バス停から徒歩10分	内房
見物堤防	34.9737381	139.7935657	kenbutsu-breakwater	L字波止でアオリイカ・クロダイ・キス・ヒラメ向き	休暇村前［館山市］バス停から徒歩5分	内房
丸山堤防	35.0286846	139.8379239	maruyama-breakwater	小堤防でクロダイ・メジナ・アオリイカ実績あり	崖観音前バス停から徒歩10分	内房
布良港	34.9198861	139.8239529	mera-ko-uchibo	房総最南端寄りの港、クロダイ・メジナ・アオリイカ向き	布良バス停から徒歩10分	内房
湊川河口	35.2186887	139.8656344	minatogawa-river-mouth	シーバス狙いのルアーマン人気、ハゼ・マゴチも向き	湊橋［富津市］バス停から徒歩10分	内房
元名海岸	35.1477106	139.8312382	motona-beach	静かな砂浜、キス中心の投げ釣り場	保田駅から徒歩20分	内房
明神岬	35.0431538	139.8155482	myojin-misaki	断崖下の地磯、クロダイ・メジナ向き、広めの駐車場あり	大房岬レストハウス前バス停から徒歩10分	内房
南無谷海岸	35.0602913	139.8262274	namuya-beach	人が少ない静かな砂浜、キス・投げ釣り向き	南なむやバス停から徒歩5分	内房
布引海岸	35.3065955	139.8095046	nunobiki-beach	遠浅の砂浜、下洲港隣接の投げ釣り場	富津公園入口バス停から徒歩10分	内房
沖ノ島	34.990575	139.824868	okinoshima	陸続きの島周囲が釣り場、クロダイ・シーバス・キス・アオリイカ向き	館山市方面から車利用	内房
大貫港	35.2780674	139.8484468	onuki-ko	サーフ囲まれの大型港、キス・カレイ・クロダイ・マゴチ向き	小久保バス停から徒歩15分	内房
龍島港	35.1183945	139.8298695	ryujima-port	ブロック護岸の小漁港、クロダイ・メジナ・アオリイカ向き	安房勝山駅から徒歩10分	内房
下洲港	35.3028315	139.8215312	shimosu-port	全面釣り禁止の報告あり、行前に必ず現地確認が必要	老人センター入口バス停から徒歩15分	内房
新舞子海岸	35.250771	139.8659563	shinmaiko-kaigan	突堤3本ある約7kmのサーフ、キス・カレイ・シーバス向き	学園入口バス停から徒歩5分	内房
洲崎灯台下	34.9772235	139.7552884	sunosaki-lighthouse-shita	東京湾最西端の地磯、潮通し良好でクロダイ・ヒラスズキ・青物向き	洲の崎灯台前バス停から徒歩10分	内房
洲ノ崎西港	34.9694216	139.7557544	sunosaki-west-port	洲崎南端の小漁港、クロダイ・メジナ・アオリイカ向き	洲の崎神社前バス停から徒歩5分	内房
竹岡港	35.208981	139.8449925	takeoka-port	駅直下のアクセス難の小港、レア魚の魚影濃いが要注意	十夜寺バス停から徒歩5分	内房
館山自衛隊堤防	34.9894684	139.8444557	tateyama-jieitai-breakwater	2020年秋より閉鎖、試験開放の情報もあり要現地確認	館山航空隊バス停から徒歩5分	内房
館山夕日桟橋	34.9903468	139.8545304	tateyama-sunset-pier	日本最長500m桟橋、北側釣禁・投げ釣り/コマセ禁、カレイ・アジ向き	渚の駅たてやまバス停から徒歩5分	内房
富浦新港	35.0394455	139.8220988	tomiura-new-port	西防波堤立入禁止、東堤防外向きのみ可、アジ・サバ魚影濃い	おさかな倶楽部バス停から徒歩10分	内房
富浦旧港	35.0490056	139.8314738	tomiura-old-port	常夜灯あり夜釣り向き、クロダイ・キス・アジ・メバル向き	豊岡バス停から徒歩5分	内房
