name	lat	lon	slug	notes	access	area
油壷	35.16167	139.615438	aburatsubo	静かな入り江、キス・マゴチ・アオリイカ・メジナ向き	油壺バス停から徒歩5分	三浦半島
アイクル	35.3127789	139.6461868	aikuru	追浜の護岸、足場良く手軽、アイナメ・アジ・メバル・カサゴ向き	追浜駅から徒歩30分	三浦半島
秋谷漁港	35.2352003	139.5988083	akiya-gyoko	磯と砂地が混在の小漁港、メジナ・クロダイ・アオリイカ向き	秋谷バス停から徒歩10分	三浦半島
秋谷海岸	35.23699711024434	139.60061073303225	akiya	立石公園近くの砂礫浜、キス・マゴチ・カレイ向き、比較的空いている	秋谷バス停から徒歩5分	三浦半島
荒井港	35.1973432	139.6023005	arai-ko	長井地区の小漁港、キス・カレイ・メバル・クロダイ向き	荒崎バス停から徒歩5分	三浦半島
荒崎	35.1937134	139.6031857	arasaki	荒崎公園一帯の一級磯、メジナ・クロダイ・アオリイカ向き	荒崎バス停から徒歩10分	三浦半島
芦名漁港	35.2321419	139.602102	ashina-gyoko	内外両向きで多魚種、アジ・クロダイ・アオリイカ向き	浄楽寺バス停から徒歩15分	三浦半島
毘沙門天下	35.1397567	139.6611428	bishamon-tenka	毘沙門湾の荒磯、メジナ・クロダイ・アオリイカ向き	毘沙門天入口バス停から徒歩10分	三浦半島
梵天の鼻（立石公園）	35.2406596	139.5964265	bonten-no-hana-tateishi-koen	奇岩地形の磯場、クロダイ・メジナ・カワハギ向き	立石バス停から徒歩5分	三浦半島
長者ヶ崎海岸	35.2544826	139.5796825	chojakasaki	葉山・横須賀境の砂礫浜、キス・マゴチ・カレイ向き	長者ケ崎バス停から徒歩5分	三浦半島
初声漁港	35.1727209	139.6179056	hatsuse-gyoko	静かな港内ポイント、アジ・メバル・クロダイ向き	三戸海岸バス停から徒歩10分	三浦半島
葉山港	35.2838215	139.5651841	hayama-ko	8:30〜17:00のみ一部釣可、メジナ・クロダイ・アジ・ワカシ向き	葉山マリーナバス停から徒歩5分	三浦半島
