name	lat	lon	slug	notes	access	area
番場浦	35.1418447	139.155879	banbaura	真鶴半島の入り江状磯、クロダイ・メジナ・アオリイカ向き	真鶴町方面から車利用	相模湾
茅ヶ崎ヘッドランド	35.3156855	139.4142723	chigasaki-headland	サーフ突き出すT字堤防、キス・メジナ・ヒラメ・青物向き	ヘッドランド入口バス停から徒歩5分	相模湾
道無	35.1447925	139.1468775	domu	西湘の地磯、クロダイ・メジナ・アオリイカ向き	真鶴町方面から車利用	相模湾
江ノ島	35.2995668	139.480716	enoshima	磯と湘南大堤防、夜22〜朝5時は島内立入禁止、メジナ・クロダイ・アジ・青物向き	かながわ女性センターバス停から徒歩10分	相模湾
江之浦漁港	35.1921528	139.1384554	enoura-gyoko	小田原西側の小漁港、アジ・カゴ釣り・アオリイカ・クロダイ向き	江の浦バス停から徒歩10分	相模湾
福浦港	35.1502667	139.1318035	fukuura-ko	真鶴半島付け根の漁港、アジ・クロダイ・メジナ向き	舟付バス停から徒歩10分	相模湾
花水川河口	35.3126564	139.3317032	hanamizugawa-kako	平塚の河口、シーバス・クロダイ・キス・ハゼ向き	下花水橋バス停から徒歩15分	相模湾
引地川河口	35.3150902	139.4682276	hikichigawa-kako	藤沢の河口、シーバス・クロダイ・キス・ハゼ向き	松波町バス停から徒歩10分	相模湾
平塚海岸	35.3148	139.3508	hiratsuka-kaigan	4km広大なサーフ、キス・マゴチ・ヒラメ・弓角青物向き	袖ヶ浜バス停から徒歩5分	相模湾
稲村ヶ崎	35.303043	139.5195436	inamuragasaki	景観の磯と護岸、クロダイ・メジナ・アオリイカ向き	稲村ヶ崎駅から徒歩5分	相模湾
釜の口	35.1470033	139.1578102	kama-no-kuchi	西湘の先端磯、クロダイ・メジナ・アオリイカ向き	真鶴町方面から車利用	相模湾
片瀬漁港	35.3051444	139.478817	katase-gyoko	境川河口の漁港、キス・サビキ・シーバス向き（タコ禁漁区）	片瀬江ノ島駅から徒歩15分	相模湾
片瀬西浜（江ノ島）	35.308771	139.479586	katase	江ノ島西側の広いサーフ、キス・マゴチ・ヒラメ・青物向き	片瀬江ノ島駅から徒歩10分	相模湾
片瀬東浜（江ノ島）	35.3073343	139.4864056	katase_east	江ノ島東側の砂浜、キス・マゴチ・ヒラメ向き	片瀬江ノ島駅から徒歩10分	相模湾
米神堤防	35.2155245	139.1420388	komekami-teibo	小田原西側の実績堤防、カゴ釣り・クロダイ・メジナ・アオリイカ向き	米神バス停から徒歩5分	相模湾
腰越漁港	35.3058798	139.49049	koshigoe-gyoko	鎌倉の穴場漁港、キス・ヒラメ・シーバス向き	腰越駅から徒歩10分	相模湾
国府津海岸	35.277787188529054	139.21023130416873	kozu	駅至近の急深サーフ、キス・青物ショアジギング・アジ向き	国府津保育園前バス停から徒歩5分	相模湾
旧吉田邸下	35.3015807	139.2905045	kyu-yoshida-tei-shita	真鶴の海岸ポイント、クロダイ・メジナ向き	城山公園前バス停から徒歩10分	相模湾
真鶴港	35.1527755	139.1427684	manazuru-ko	真鶴の代表港、海側一部釣禁注意、アジ・クロダイ・メジナ向き	真鶴駅から徒歩15分	相模湾
三ツ石	35.1373176	139.1633034	mitsuishi	真鶴半島の景勝地磯、クロダイ・メジナ・イシダイ向き	真鶴町方面から車利用	相模湾
御幸の浜	35.244917246361666	139.1598701477051	miyuki	小田原漁港隣接の砂浜、キス・マゴチ向き、比較的空いた穴場	小田原駅から徒歩20分	相模湾
根府川	35.2012971	139.1400111	nebukawa	根府川海岸沿いの砂礫浜、キス・クロダイ向き	関所跡入口［小田原市］バス停から徒歩10分	相模湾
二宮海岸	35.29530728683009	139.2632102966309	ninomiya	湘南西端の遠浅砂浜、キス・マゴチ向き、比較的空いた穴場　近隣駐車場少なめ	秦野道バス停から徒歩10分	相模湾
大磯町役場下	35.3056785	139.3108678	oiso-choyakuba-shita	大磯海岸沿いの護岸、キス・クロダイ・メジナ向き	大磯駅から徒歩10分	相模湾
大磯港	35.3059937	139.3174124	oiso-ko	アジ・サバ・サビキの定番港、クロダイ・カマス・メジナ向き	大磯駅から徒歩10分	相模湾
大磯海岸	35.309269	139.319336	oiso	砂礫混じりのサーフ、キス・ヒラメ・マゴチ・弓角青物向き	大磯駅から徒歩10分	相模湾
相模川河口	35.3171212	139.3686104	sagamigawa-kako	箱根駅伝中継所近くの大河口、シーバス・クロダイ・キス・アジ向き	南町［平塚市］バス停から徒歩15分	相模湾
酒匂海岸（小田原）	35.2620713	139.1866594	sakawa	急深サーフの穴場、キス・青物・ヒラメ・シーバス向き	鴨宮駅から徒歩25分	相模湾
七里ヶ浜	35.3047941	139.510746	shichirigahama	鎌倉の広いサーフ、キス・マゴチ・ヒラメ向き	七里ヶ浜駅から徒歩5分	相模湾
湘南大堤防	35.2989451	139.4874537	shonan-dai-teibo	江ノ島東端の定番堤防、アジ・サバ・メジナ・クロダイ・カマス向き	片瀬江ノ島駅から徒歩25分	相模湾
辻堂海岸	35.3189771	139.4401932	tsujido	湘南サーフ、キス・ヒラメ・マゴチ・シーバス向き、夏はサーファー多	西海岸３丁目バス停から徒歩10分	相模湾
