name	lat	lon	slug	notes	access	area
網代港	35.0449575	139.0863062	ajiro-ko	温泉地に隣接、堤防でアジ・メジナ・クロダイ向き	片町バス停から徒歩5分	東伊豆
赤沢海岸	34.8584459	139.0870053	akazawa-kaigan	ゴロタ浜中心、メジナ・クロダイ・アオリイカ向き	赤沢海岸バス停から徒歩0分	東伊豆
今井浜海岸	34.7518034	139.0048599	imaihama-beach	河津町の砂浜・ゴロタ、キス・メジナ・アオリイカ向き	今井浜バス停から徒歩5分	東伊豆
伊豆大川港	34.8291595	139.0760404	izu-okawa-ko	東伊豆町北端の小漁港、アジ・アオリイカ向き	伊豆北川駅から徒歩10分	東伊豆
片瀬白田海岸	34.8014705	139.0625381	katase-shirota	小規模護岸・ゴロタ、メジナ・クロダイ向き	片瀬白田駅から徒歩5分	東伊豆
川奈いるか浜公園	34.9527897	139.13234	kawana-iruka	砂浜と小堤防、キス・クロダイ・青物向き	いるか浜バス停から徒歩5分	東伊豆
北川港	34.8288997	139.076035	kitagawa-ko	東伊豆町の小港、アジ・メジナ・アオリイカ向き	伊豆北川駅から徒歩10分	東伊豆
長浜海浜公園	35.0564271	139.0698981	nagahama-kaihin	熱海市の護岸公園、ゴロタ浜でメジナ・アオリイカ向き	長浜［熱海市］バス停から徒歩5分	東伊豆
なぎさ公園・新井堤防	34.9729597	139.1005182	nagisa-kouen	伊東湾内の護岸公園、ファミリー向き	東海館前バス停から徒歩10分	東伊豆
波来港	34.7387913	138.9997745	namikiri-ko	河津町の小漁港、アジ・メジナ・アオリイカ向き	松下［河津町］バス停から徒歩5分	東伊豆
熱川海水浴場前	34.8135214	139.071722	niekawa-beach	ゴロタ浜護岸、メジナ・アオリイカ向き、温泉地隣接	伊豆熱川駅から徒歩10分	東伊豆
下多賀港（池田港）	35.0501474	139.0713358	shimotaga-ko	熱海市の小漁港、アジ・メジナ・アオリイカ向き	ＪＡ下多賀支店バス停から徒歩5分	東伊豆
菖蒲沢海岸	34.7280521	138.9927363	shobuzawa-kaigan	河津町のゴロタ浜、メジナ・クロダイ・アオリイカ向き	菖蒲沢バス停から徒歩10分	東伊豆
外浦海水浴場	34.6752174	138.9723945	sotourahama	下田市の穏やかな砂浜・護岸、キス・ウキ釣り向き	外浦口バス停から徒歩5分	東伊豆
宇佐美港	35.0082981	139.0909266	usami-ko	伊東市北の漁港、防波堤から多彩魚種が狙える	東町［伊東市］バス停から徒歩5分	東伊豆
八幡野港	34.8690405	139.1031039	yahano-ko	城ヶ崎南の漁港、アジ・メジナ・青物・アオリイカ	伊豆高原駅やまも口バス停から徒歩20分	東伊豆
