name	lat	lon	slug	notes	access	area
熱海港海釣り施設	35.089755	139.078026	atami-fishing-facility	大型の有料海釣り施設	熱海駅からバス10分	東伊豆
長浜海浜公園	35.042013	139.089944	nagahama-seaside-park	砂浜と護岸がある公園	伊豆多賀駅から徒歩10分	東伊豆
下多賀港	35.04088	139.08534	shimotaga-port	小港で手軽に探れる	網代駅から徒歩20分	東伊豆
網代温泉海水浴場	35.041624	139.081625	ajiro-beach	遠浅の浜で投げ釣り向き	網代駅から徒歩8分	東伊豆
宇佐美港	34.99881	139.086822	usami-port	赤灯堤防が人気の港	宇佐美駅から徒歩12分	東伊豆
伊東港	34.963518	139.101245	ito-port	市街地近くの定番港	伊東駅から徒歩15分	東伊豆
なぎさ公園・新井堤防	34.963017	139.094808	nagi-park-arai-breakwater	湾奥側で足場が良い	伊東駅から徒歩20分	東伊豆
川奈いるか浜公園	34.94265	139.13618	kawana-irukahama	小堤防でファミリー向き	川奈駅から徒歩20分	東伊豆
富戸港	34.907889	139.139361	futo-port	地形変化が多い人気港	富戸駅から徒歩20分	東伊豆
八幡野港	34.881838	139.114993	yawatano-port	外向きで回遊魚期待	伊豆高原駅から徒歩25分	東伊豆
赤沢漁港	34.862877	139.115411	akasawa-port	小規模港で根魚も狙える	伊豆高原駅からバス15分	東伊豆
伊豆大川港	34.818624	139.094908	izu-okawa-port	外向きの堤防が狙い目	伊豆大川駅から徒歩10分	東伊豆
北川港	34.816198	139.092644	hokkawa-port	駅近の小港ポイント	伊豆北川駅から徒歩8分	東伊豆
熱川堤防	34.819989	139.073512	atagawa-breakwater	堤防から多魚種を狙える	伊豆熱川駅から徒歩10分	東伊豆
稲取港	34.771908	139.040833	inatori-port	東伊豆の代表的な港	伊豆稲取駅から徒歩15分	東伊豆
見高港	34.75203	139.004823	mitaka-port	小場所ながら実績あり	今井浜海岸駅から徒歩15分	東伊豆
今井浜	34.751842	139.00793	imaihama	広い浜で投げ釣り向き	今井浜海岸駅から徒歩5分	東伊豆
河津川河口	34.753812	138.995067	kawazugawa-mouth	河口の流れ込みを狙える	河津駅から徒歩10分	東伊豆
波来港	34.755212	139.004682	harai-port	河津の定番小港	河津駅から徒歩15分	東伊豆
菖蒲沢港	34.732674	138.979292	shobuzawa-port	河津南端の小漁港	河津駅からバス20分	東伊豆
板戸港	34.714562	138.982824	itado-port	堤防と磯が隣接する	伊豆急下田駅からバス15分	南伊豆
板見港	34.707231	138.997602	itami-port	小さな港で静かに釣れる	伊豆急下田駅からバス20分	南伊豆
外浦海岸	34.68996	138.968596	sotoura-beach	入り江で比較的穏やか	伊豆急下田駅からバス10分	南伊豆
須崎港	34.680544	138.980516	suzaki-port	岬周辺で潮通し良好	伊豆急下田駅からバス15分	南伊豆
福浦堤防	34.669248	138.991675	fukuura-breakwater	下田湾口の実績堤防	伊豆急下田駅からバス15分	南伊豆
弁天島	34.673089	138.944383	bentenjima-shimoda	小磯混じりで変化が多い	伊豆急下田駅から徒歩20分	南伊豆
まどが浜海遊公園	34.673293	138.947384	madogahama-park	足場が良く初心者向き	伊豆急下田駅から徒歩15分	南伊豆
開国下田みなと	34.671053	138.944813	kaikoku-shimoda-minato	港周りで手軽に狙える	伊豆急下田駅から徒歩10分	南伊豆
犬走島	34.667087	138.945099	inubashiri-jima	磯際の変化を探れる	伊豆急下田駅から徒歩20分	南伊豆
多々戸浜	34.65442	138.932602	tatadohama	サーフで投げ釣り向き	伊豆急下田駅からバス10分	南伊豆
田牛海岸	34.643658	138.971599	touji-beach	地形変化が多い海岸	伊豆急下田駅からバス20分	南伊豆
弓ヶ浜	34.628399	138.892784	yumigahama	広い砂浜の定番ポイント	伊豆急下田駅からバス25分	南伊豆
青野川河口	34.625567	138.885715	aonogawa-mouth	河口絡みで魚影が濃い	伊豆急下田駅からバス25分	南伊豆
手石港	34.622037	138.888539	teishi-port	河口近くの実績港	伊豆急下田駅からバス25分	南伊豆
大瀬港	34.609517	138.866414	ose-port-minamiizu	南伊豆西側の小港	伊豆急下田駅からバス35分	南伊豆
妻良港	34.607228	138.828436	mera-port-minamiizu	外海向きで潮通し良い	伊豆急下田駅からバス40分	南伊豆
