name	lat	lon	slug	notes	access	area
赤須賀漁港	0	0	akasuka-gyoko	木曽三川河口、セイゴ・クロダイ・ハゼ向き	近鉄富田浜駅から徒歩10分	伊勢湾
川越釣り桟橋	0	0	kawagoe-tsurizanbashi	整備された釣り桟橋、ハゼ・セイゴ向き	近鉄霞ヶ浦駅からバス10分	伊勢湾
富洲原漁港	0	0	tomisuhara-gyoko	四日市市北端の漁港、クロダイ・セイゴ向き	近鉄富洲原駅から徒歩10分	伊勢湾
霞埠頭・霞釣り公園	0	0	kasumi-fishing-park	整備された公共釣り場、ハゼ・クロダイ向き	近鉄霞ヶ浦駅から徒歩15分	伊勢湾
富双緑地公園	0	0	fusou-ryokuchi	護岸公園、クロダイ・セイゴ・ハゼ向き	近鉄霞ヶ浦駅から徒歩20分	伊勢湾
四日市港・ゆめくじら周辺	0	0	yokkaichi-yumekujira	港内護岸、ハゼ・クロダイ・サッパ向き	近鉄四日市駅からバス15分	伊勢湾
三滝川河口・跳ね上げ橋	0	0	mitaki-haneage	河口のシーバス・クロダイ向き人気ポイント	近鉄四日市駅からバス15分	伊勢湾
塩浜テトラ	0	0	shiohama-tetra	テトラ帯でメバル・カサゴ・クロダイ向き	近鉄塩浜駅から徒歩15分	伊勢湾
磯津漁港	0	0	isotsu-gyoko	鈴鹿市の漁港、クロダイ・ハゼ・セイゴ向き	近鉄白子駅からバス20分	伊勢湾
白子漁港	0	0	shiroko-gyoko	鈴鹿市の漁港、クロダイ・ハゼ向き	近鉄白子駅からバス25分	伊勢湾
千代崎サーフ	0	0	chiyozaki-surf	鈴鹿市の遠浅サーフ、キス・マゴチ向き	近鉄千代崎駅から徒歩10分	伊勢湾
鈴鹿港・日本鋼管テトラ	0	0	suzuka-nipponkokan	大型テトラ帯、メバル・クロダイ・グレ向き	近鉄鈴鹿市駅からバス利用	伊勢湾
吉崎海岸	0	0	yoshizaki-kaigan	鈴鹿市の砂浜、キス・投げ釣り向き	近鉄鈴鹿市駅からバス利用	伊勢湾
津ポートターミナル周辺	0	0	tsu-port	津市の港護岸、クロダイ・セイゴ向き	近鉄津駅からバス15分	伊勢湾
日本鋼管（津市）護岸・テトラ	0	0	tsu-nipponkokan	埋立地テトラ、メバル・クロダイ・グレ向き	津駅からバス利用	伊勢湾
岩田川河口	0	0	iwata-kako	津市の河口、シーバス・クロダイ向き	津駅からバス15分	伊勢湾
大淀漁港・大淀海岸	0	0	oyodo-kaigan	松阪市南の砂浜・漁港、キス・マゴチ向き	松阪駅からバス利用	伊勢湾
横山海岸	0	0	yokoyama-kaigan	明和町の遠浅砂浜、キス・投げ釣り向き	近鉄明星駅からバス利用	伊勢湾
大堀漁港	0	0	ohori-gyoko	明和町の小漁港、ハゼ・クロダイ・投げ釣り向き	近鉄明星駅からバス利用	伊勢湾
有滝堤防・外城田川河口	0	0	aritaki-teibou	幅広い堤防、多彩魚種でファミリー向き好適	伊勢市駅からバス利用	伊勢湾
宮川河口	0	0	miyagawa-kako	伊勢市の一級河川河口、シーバス・クロダイ向き	近鉄二見浦駅から徒歩20分	伊勢湾
二見浦・二見漁港	0	0	futami-gyoko	伊勢市の漁港・砂浜、キス・ハゼ・クロダイ向き	近鉄二見浦駅から徒歩10分	伊勢湾
答志島	0	0	toshijima	鳥羽市の離島漁港、アジ・グレ・アオリイカ向き	鳥羽港から渡船10分	志摩・南伊勢
