name	lat	lon	slug	notes	access	area
長良川河口堰	35.0806	136.7312	nagaragawa-kakouzeki	河口の護岸でシーバス実績	桑名駅からバス25分	北中部
赤須賀漁港	35.0567	136.7078	akasuka-port	足場が良くハゼ狙い向き	桑名駅からバス15分	北中部
伊勢大橋下流	35.0309	136.7647	ise-ohashi-downstream	車横付けしやすい河口部	弥富駅から徒歩25分	北中部
富洲原漁港	35.0098	136.6656	tomisuhara-port	港内で手軽に楽しめる	富田駅から徒歩20分	北中部
四日市港	34.9817	136.6516	yokkaichi-port	埠頭周りの定番ポイント	四日市駅から徒歩25分	北中部
ウール岸壁	34.9657	136.6426	wool-wharf	夜釣りも人気の岸壁	四日市駅から徒歩20分	北中部
川越釣り桟橋	35.0176	136.7097	kawagoe-fishing-pier	夜間照明がある桟橋	川越富洲原駅から徒歩30分	北中部
白子漁港	34.8298	136.5868	shiroko-port	手すり付き桟橋で家族向き	白子駅から徒歩15分	北中部
千代崎サーフ	34.7989	136.5788	chiyozaki-surf	投げ釣りとルアー向き	千代崎駅から徒歩20分	北中部
磯山海岸	34.7742	136.5617	isoyama-beach	遠浅の砂浜が広がる	磯山駅から徒歩15分	北中部
河芸海岸	34.7853	136.5155	kawage-beach	広い浜でキス狙い向き	河芸駅から徒歩25分	北中部
町屋海岸	34.7433	136.5287	machiya-beach	駐車しやすい人気サーフ	津駅からバス15分	北中部
阿漕浦海岸	34.7098	136.5172	akogiura-beach	市街地近くの定番海岸	阿漕駅から徒歩15分	北中部
津なぎさまち	34.7076	136.5179	tsu-nagisamachi	足場が良い旅客港周辺	津新町駅からバス15分	北中部
香良洲漁港	34.6391	136.5853	karasu-port	港内中心でファミリー向き	高茶屋駅からバス20分	北中部
雲出川河口	34.629	136.5661	kumozugawa-mouth	河口の流れ込みを狙える	高茶屋駅からバス20分	北中部
松名瀬漁港	34.6039	136.7048	matsunase-port	干潟寄りでハゼが定番	松阪駅からバス25分	北中部
東黒部海岸	34.5926	136.7255	higashi-kurobe-beach	サーフでキスやマゴチ向き	松阪駅からバス25分	北中部
大淀漁港（大淀海岸）	34.5689	136.7404	ooyodo-port-beach	漁港と浜を一緒に探れる	明星駅からバス20分	北中部
有滝堤防	34.5072	136.7421	aritaki-breakwater	幅広い堤防で人気	伊勢市駅からバス25分	北中部
大湊海岸	34.4873	136.7306	ominato-beach	遠浅の砂浜で投げ向き	伊勢市駅からバス25分	北中部
宮川河口	34.5007	136.7488	miyagawa-mouth	河口のシーバス実績場	伊勢市駅からバス20分	北中部
小浜漁港	34.4892	136.845	ohama-port	白灯側中心に楽しめる	鳥羽駅から徒歩20分	北中部
安楽島漁港	34.4899	136.8666	arashima-port	港内外で多魚種を狙える	鳥羽駅からバス15分	北中部
石鏡漁港	34.4683	136.9051	ijika-port	外海向きで魚影が濃い	鳥羽駅からバス30分	北中部
国崎漁港	34.4435	136.8931	kuzaki-port	地磯混じりで潮通し良好	鳥羽駅からバス30分	北中部
相差漁港	34.4149	136.9106	osatsu-port	港内外で根魚やチヌ	鳥羽駅からバス35分	北中部
安乗漁港	34.3711	136.848	anori-port	弁天波止が定番	鵜方駅からバス20分	北中部
甲賀漁港	34.3267	136.8252	kouga-port	浅場混じりの人気港	鵜方駅からバス20分	北中部
波切漁港	34.2893	136.8689	nakiri-port	大王崎近くの大型港	鵜方駅からバス35分	北中部
和具漁港	34.2847	136.8342	wagu-port	広い港で多魚種向き	鵜方駅からバス35分	北中部
御座漁港	34.2697	136.8314	goza-port	志摩半島先端の人気港	鵜方駅からバス45分	北中部
浜島港	34.3039	136.7821	hamajima-port	常夜灯周りも人気	鵜方駅からバス25分	北中部
