name	lat	lon	slug	notes	access	area
新居弁天海釣公園	34.6839	137.5789	arai-benten-fishing-park	足場が良くファミリー向き	新居町駅から徒歩20分	遠州
今切口・新居堤	34.6835	137.576	imagireguchi-arai-tei	潮通しが良い人気堤防	新居町駅から徒歩25分	遠州
今切口・舞阪堤	34.6857	137.5911	imagireguchi-maisaka-tei	青物も狙える外向き堤防	弁天島駅から徒歩25分	遠州
網干場	34.691	137.5958	aboshiba	浜名湖側の定番小場所	弁天島駅から徒歩20分	遠州
砂揚げ場	34.6896	137.594	sunageba	足場が広く探りやすい	弁天島駅から徒歩20分	遠州
弁天島海浜公園	34.6926	137.6011	bentenjima-seaside-park	駅近で手軽に楽しめる	弁天島駅から徒歩5分	遠州
渚園	34.6907	137.615	nagisaen	湖内側でのんびり釣れる	弁天島駅から徒歩20分	遠州
都田川	34.747	137.6215	miyakodagawa	ハゼ狙いで人気の川筋	寸座駅から徒歩20分	遠州
新川放水路	34.699	137.679	shinkawa-hosuiro	ハゼやセイゴの実績場	高塚駅からバス15分	遠州
中田島海岸	34.665	137.685	nakatajima-beach	広いサーフで投げ釣り向き	浜松駅からバス20分	遠州
舞阪海岸	34.685	137.59	maisaka-beach	今切口近くの人気サーフ	弁天島駅から徒歩20分	遠州
新居海岸	34.684	137.568	arai-beach	今切口周辺の好ポイント	新居町駅から徒歩20分	遠州
大倉戸海岸	34.723	137.53	okurado-beach	キス狙いで人気の浜	鷲津駅からバス15分	遠州
天竜川河口	34.6668	137.797	tenryugawa-mouth	大型魚も期待できる河口	天竜川駅からバス20分	遠州
鮫島海岸	34.6575	137.775	samejima-beach	駐車場があり入りやすい	磐田駅からバス25分	遠州
福田海岸	34.6498	137.8216	fukude-beach	キス狙いの定番サーフ	磐田駅からバス30分	遠州
太田川河口	34.6416	137.8462	otagawa-mouth	河口絡みで変化が豊富	袋井駅からバス30分	遠州
福田漁港	34.6405	137.8467	fukude-port	足場が良く家族向き	磐田駅からバス30分	遠州
浅羽海岸	34.635	137.884	asaba-beach	福田東側の遠州灘サーフ	袋井駅からバス30分	遠州
同笠海岸	34.62	137.922	dogasa-beach	アクセスしやすい遠州灘	袋井駅からバス35分	遠州
弁財天川河口	34.61	137.951	benzaitengawa-mouth	河口とサーフを探れる	掛川駅からバス35分	遠州
大須賀海岸	34.608	137.962	osuka-beach	遠州灘の広いサーフ	掛川駅からバス35分	遠州
国安海岸（大浜海岸）	34.602	138.01	kuniyasu-ohama-beach	遠浅サーフの人気ポイント	掛川駅からバス35分	遠州
菊川河口	34.6033	138.0228	kikugawa-mouth	河口両岸が狙い目	掛川駅からバス35分	遠州
千浜海岸	34.598	138.056	chihama-beach	大会もある人気サーフ	掛川駅からバス40分	遠州
御前崎港	34.6369	138.2205	omaezaki-port	西埠頭が定番の大型港	菊川駅からバス50分	遠州
御前崎海岸	34.635	138.222	omaezaki-beach	磯混じりでクロダイ実績	菊川駅からバス50分	遠州
坂下海岸	34.626	138.24	sakashita-beach	サーフでヒラメ狙い向き	菊川駅からバス45分	遠州
尾高海岸	34.6215	138.257	otaka-beach	根混じりサーフを探れる	菊川駅からバス45分	遠州
中西川河口	34.613	138.269	nakanishigawa-mouth	遠浅河口でヒラメ人気	菊川駅からバス45分	遠州
筬川河口	34.609	138.286	osagawa-mouth	河口の流れ込みを狙える	菊川駅からバス45分	遠州
浜岡海岸	34.6005	138.297	hamaoka-beach	広い遠浅サーフ	菊川駅からバス45分	遠州
釘ヶ浦	34.738	138.251	kuginoura	イシモチ実績の石混じり浜	島田駅からバス40分	駿河
吉田港	34.751	138.254	yoshida-port	港内岸壁が主な釣り場	六合駅からバス35分	駿河
静波海岸（勝間田川河口）	34.6939	138.228	shizunami-beach-katsumata	波止周りが人気	島田駅からバス45分	駿河
坂井港	34.6845	138.2158	sakai-port	小港で落ち着いて探れる	島田駅からバス45分	駿河
相良港	34.6858	138.2125	sagara-port	河口絡みの実績港	島田駅からバス45分	駿河
相良海岸	34.687	138.205	sagara-beach	キス狙いで人気の海岸	島田駅からバス45分	駿河
地頭方港	34.6395	138.2128	jitogata-port	足場が良く多魚種向き	菊川駅からバス40分	駿河
焼津港	34.8648	138.3227	yaizu-port	港内岸壁で手軽に狙える	焼津駅から徒歩25分	駿河
ふぃしゅーな	34.8468	138.336	fishuna	整備護岸で家族向き	焼津駅からバス15分	駿河
小川港	34.838	138.331	kogawa-port	港内岸壁が主戦場	焼津駅からバス15分	駿河
石津浜	34.822	138.328	ishizuhama	青物回遊も期待の急深浜	焼津駅からバス20分	駿河
浜当目海岸	34.81	138.325	hamaatago-beach	冬場の投げ釣り向き	焼津駅からバス20分	駿河
利右衛門	34.7896	138.2804	riemon	波止先端が人気の小場所	藤枝駅からバス30分	駿河
大井川港	34.7891	138.2758	oigawa-port	港内岸壁中心の釣り場	藤枝駅からバス30分	駿河
大井川河口	34.793	138.2685	oigawa-mouth	河口北岸が人気	藤枝駅からバス30分	駿河
栃山川河口	34.8	138.298	tochiyamagawa-mouth	河口絡みの変化を狙える	藤枝駅からバス30分	駿河
高新田海岸	34.806	138.309	takashinden-beach	焼津南側のサーフ	焼津駅からバス25分	駿河
蒲原放水路	35.118	138.613	kanbara-hosuiro	放水路周りの人気ポイント	新蒲原駅から徒歩20分	駿河
由比漁港	35.0969	138.5918	yui-port	旧堤防周りが定番	由比駅から徒歩15分	駿河
興津川河口	35.027	138.529	okitsugawa-mouth	河口北側から入りやすい	興津駅から徒歩20分	駿河
清水港・江尻埠頭	35.0126	138.4897	shimizu-ejiri-wharf	車横付けしやすい岸壁	清水駅から徒歩15分	駿河
清水港・鉄道岸壁	35.0107	138.499	shimizu-railway-wharf	クロダイ狙いの定番	清水駅から徒歩20分	駿河
三保真崎海岸（離岸堤前）	34.9956	138.5265	miho-masaki-beach	急深サーフで青物期待	清水駅からバス25分	駿河
三保飛行場前（灯台下）	34.9906	138.5308	miho-airfield-lighthouse	全国的に有名な青物場	清水駅からバス30分	駿河
三保松原	34.9836	138.5205	miho-matsubara	ルアー人気の海岸	清水駅からバス25分	駿河
浜川河口	34.972	138.493	hamakawa-mouth	河口両岸に駐車場あり	清水駅からバス20分	駿河
大浜海岸	34.948	138.427	ohama-beach-shizuoka	テトラ間を攻める海岸	静岡駅からバス20分	駿河
安倍川河口	34.939	138.381	abegawa-mouth	ヒラメやシーバス実績	静岡駅からバス20分	駿河
広野海岸公園	34.9258	138.344	hirono-seaside-park	柵付き護岸で安心	用宗駅から徒歩20分	駿河
用宗港	34.9233	138.3394	mochimune-port	足場が良く人気港	用宗駅から徒歩10分	駿河
富士川河口	35.1455	138.6419	fujikawa-mouth	県内屈指の河口ルアー場	富士川駅から徒歩25分	駿河
田子の浦港	35.1367	138.686	tagonoura-port	白灯波止周辺が定番	吉原駅からバス15分	駿河
昭和放水路	35.1237	138.7109	showa-hosuiro	急深サーフの人気場	吉原駅からバス20分	駿河
