slug	area_name	name	notes
# === 三浦半島 ===
zushi	三浦半島	逗子海岸	相模湾東端の砂浜。逗子マリーナ近く。サーファーも来る
# === 東京湾 ===
daikoku-umizuri-shisetsu	東京湾	大黒海づり施設	定番の海釣り施設
fukuura-ganpeki	東京湾	福浦岸壁	護岸中心の実績場
hakkeijima-taigan	東京湾	八景島対岸	手軽に探れる護岸帯
higashi-ogishima-nishi-koen	東京湾	東扇島西公園	足場が広くファミリー向き　P・WC・売店あり
honmoku-umizuri-shisetsu	東京湾	本牧海づり施設	桟橋で多魚種を狙える
isogo-umizuri-shisetsu	東京湾	磯子海づり施設	足場安定で初心者向き
umi-no-koen	東京湾	海の公園	潮干狩り場横の手軽な砂浜
# === 相模湾 ===
banbaura	相模湾	番場浦	入り江状で変化が多い
chigasaki-headland	相模湾	茅ヶ崎ヘッドランド	地形変化で魚影期待
domu	相模湾	道無	地磯好き向けの名所
enoshima	相模湾	江の島	磯と堤防を楽しめる
enoura-gyoko	相模湾	江之浦漁港	小規模ながら人気の港
fukuura-ko	相模湾	福浦港	県境近くの港ポイント
hanamizugawa-kako	相模湾	花水川河口	河口周辺の変化を狙える
hayakawa-ko	相模湾	早川港	港内外で多魚種期待
hikichigawa-kako	相模湾	引地川河口	河口絡みの変化を狙える
hiratsuka	相模湾	平塚海岸	遠浅の砂浜。平塚新港も近く便利
hiratsuka-kaigan	相模湾	平塚海岸	広いサーフで投げ釣り向き
hiratsuka-shinko	相模湾	平塚新港	西湘の定番港ポイント
inamuragasaki	相模湾	稲村ヶ崎	磯混じりで変化が多い
iwa-ko	相模湾	岩港	真鶴寄りの港ポイント
kama-no-kuchi	相模湾	釜の口	地磯混じりの先端部
katase	相模湾	片瀬西浜（江ノ島）	広い砂浜。サーファー多い。江ノ島の西側で多少風が遮られる
katase-gyoko	相模湾	片瀬漁港	駅近で手軽な港場
katase_east	相模湾	片瀬東浜（江ノ島）	江ノ島の東側の砂浜。西浜よりやや静かな日もある
komekami-teibo	相模湾	米神堤防	小田原西側の実績堤防
koshigoe-gyoko	相模湾	腰越漁港	小田急沿線の人気港
kotsubo-gyoko	相模湾	小坪漁港	港内中心の実績場
kozu	相模湾	国府津海岸	砂地が広がる浜。駅至近で利便性が高い穴場
kyu-yoshida-tei-shita	相模湾	旧吉田邸下	静かな海岸ポイント
manazuru-ko	相模湾	真鶴港	真鶴の代表的な港
mitsuishi	相模湾	三ツ石	景勝地の地磯ポイント
miyuki	相模湾	御幸の浜	小田原漁港に隣接。比較的空いている砂浜。投げ釣りの好ポイント
nebukawa	相模湾	根府川	景観良い海岸ポイント
ninomiya	相模湾	二宮海岸	二宮町の遠浅砂浜。湘南西端の穴場。比較的空いている
oiso	相模湾	大磯海岸	砂と砂利が混じる。投げ釣りで好釣果が期待できる
oiso-choyakuba-shita	相模湾	大磯町役場下	海岸線を手軽に探れる
oiso-ko	相模湾	大磯港	足場安定の人気港
sagamigawa-kako	相模湾	相模川河口	河口の流れ込みが魅力
sakawa	相模湾	酒匂海岸（小田原）	比較的空いている穴場。砂地が広がる
shichirigahama	相模湾	七里ヶ浜	広い海岸で投げ釣り向き アニメ聖地
shonan-dai-teibo	相模湾	湘南大堤防	定番の堤防ポイント
tsujido	相模湾	辻堂海岸	湘南の代表的な砂浜。サーファー多め。オフショア時は空きやすい
umezawa-kaigan	相模湾	梅沢海岸	投げ釣り向きの浜
yanagishima-kaigan	相模湾	柳島海岸	河口近くの投げ釣り場
yugawara-kaihin-koen	相模湾	湯河原海浜公園	手軽に海辺を楽しめる
yuigahama	相模湾	由比ヶ浜	観光地近くの定番海岸
zaimokuza-kaigan	相模湾	材木座海岸	投げ釣り向きの海岸
