slug	area_name	name	notes
# === 九十九里 ===
choshi-gaiko	九十九里	銚子外港	2023年9月より全面立入禁止（銚子市漁協）、釣行不可
choshi-ko	九十九里	銚子港	2023年9月より全面立入禁止（銚子市漁協）、釣行不可
fudodo-kaigan	九十九里	不動堂海岸	九十九里南部の遠浅サーフ、キス・イシモチ・ヒラメ向き
horikawa-hama	九十九里	堀川浜	静かな遠浅サーフ、投げ釣りでキス・イシモチ向き
iioka-ko	九十九里	飯岡港	サーフ・テトラ・護岸が揃う大型港、アジ・キス・ヒラメ実績豊富
inubosaki	九十九里	犬吠埼	東端の地磯、ヒラスズキ・青物・根魚向き、波高時注意
katakai-ko	九十九里	片貝港	作田川河口の大型港、港内・堤防・サーフでキス・ヒラメ・アジ向き
kidohama-kaigan	九十九里	木戸浜海岸	九十九里北部の遠浅サーフ、キス・ヒラメ向き投げ釣り場
kimigahama	九十九里	君ヶ浜	犬吠埼南の砂浜、投げ釣りでキス・カレイ向き
kuromae-ko	九十九里	黒生港	2023年9月より全面立入禁止（銚子市漁協）、釣行不可
magame-kaigan	九十九里	真亀海岸	遠浅の広い砂浜、キス・イシモチ中心の投げ釣り場
motosuka-kaigan	九十九里	本須賀海岸	九十九里の典型的な遠浅サーフ、キス・ヒラメ向き
nagaarai-ko	九十九里	名洗港	外港寄りで回遊魚の実績あり、アジ・イシモチ・ヒラメ向き
nakayazato-kaigan	九十九里	中谷里海岸	遠浅サーフ、投げ釣りでキス・イシモチ中心
note-hama	九十九里	野手浜	広い砂浜で人が少なめ、キス・ヒラメ向きサーフ
sakuda-kaigan	九十九里	作田海岸	片貝港隣接のサーフ、キス・ヒラメ・イシモチ向き
shirasato-kaigan	九十九里	白里海岸	九十九里南部の広大サーフ、キス・ヒラメ向き投げ釣り
yokata-kaigan	九十九里	屋形海岸	一宮川河口に近い遠浅サーフ、キス・イシモチ向き
yoshizaki-hama	九十九里	吉崎浜	九十九里北部の遠浅サーフ、キス・ヒラメ向き
# === 内房 ===
dairoku-port	内房	大六港	リニューアル後に釣り解禁、クロダイ・シロギス・アオリイカ向き
funakata-port	内房	船形港	館山北側の中規模港、アジ・クロダイ・アオリイカ向き
futtsu-kaigan	内房	富津海岸	東京湾口の潮流速い遠浅サーフ、キス・シーバス向き投げ釣りのメッカ
futtsu-minato-park	内房	富津みなと公園	水深浅めの整備護岸、キス・シーバス・クロダイ向き
haraoka-pier	内房	原岡桟橋	桟橋周辺は砂地、キス・ハゼ・サヨリ・クロダイ向き
heisaura	内房	平砂浦	6kmに及ぶ広大サーフ、キス・ヒラメ・アオリイカ向き
hojo-beach	内房	北条海岸	館山湾奥の砂浜、キス・ヒラメ・クロダイ向き、夏は海水浴場
hota-beach	内房	保田海岸	金谷南の砂浜、投げ釣りでキス中心
hota-yoshihama-reclaimed	内房	保田港吉浜埋立地	港横の広い釣りスペース、クロダイ・アジ向き
iwai-beach	内房	岩井海岸	岩礁と砂地が入り混じる広い海岸、クロダイ・キス・シーバス向き
iwaibukuro-port	内房	岩井袋港	小規模港で水深あり、クロダイ・メジナ・アオリイカ向き
kanaya-ferry-port	内房	金谷フェリー港	石積み護岸でクロダイ・アジ・回遊魚向き、要作業確認
kanaya-seaside-park	内房	金谷海浜公園	河口横の護岸、クロダイ・キス・シーバス向き
kazusa-minato-ko	内房	上総湊港	内房では珍しい大型港、回遊魚・コウイカ・クロダイ向き
kazusa-minato-seaside-park	内房	上総湊港海浜公園	砂浜の突堤から投げ釣り、キス・ハゼ向き
kenbutsu-breakwater	内房	見物堤防	L字波止でアオリイカ・クロダイ・キス・ヒラメ向き
maruyama-breakwater	内房	丸山堤防	小堤防でクロダイ・メジナ・アオリイカ実績あり
mera-ko-uchibo	内房	布良港	房総最南端寄りの港、クロダイ・メジナ・アオリイカ向き
minatogawa-river-mouth	内房	湊川河口	シーバス狙いのルアーマン人気、ハゼ・マゴチも向き
motona-beach	内房	元名海岸	静かな砂浜、キス中心の投げ釣り場
myojin-misaki	内房	明神岬	断崖下の地磯、クロダイ・メジナ向き、広めの駐車場あり
namuya-beach	内房	南無谷海岸	人が少ない静かな砂浜、キス・投げ釣り向き
nunobiki-beach	内房	布引海岸	遠浅の砂浜、下洲港隣接の投げ釣り場
okinoshima	内房	沖ノ島	陸続きの島周囲が釣り場、クロダイ・シーバス・キス・アオリイカ向き
onuki-ko	内房	大貫港	サーフ囲まれの大型港、キス・カレイ・クロダイ・マゴチ向き
ryujima-port	内房	龍島港	ブロック護岸の小漁港、クロダイ・メジナ・アオリイカ向き
shimosu-port	内房	下洲港	全面釣り禁止の報告あり、行前に必ず現地確認が必要
shinmaiko-kaigan	内房	新舞子海岸	突堤3本ある約7kmのサーフ、キス・カレイ・シーバス向き
sunosaki-lighthouse-shita	内房	洲崎灯台下	東京湾最西端の地磯、潮通し良好でクロダイ・ヒラスズキ・青物向き
sunosaki-west-port	内房	洲ノ崎西港	洲崎南端の小漁港、クロダイ・メジナ・アオリイカ向き
takeoka-port	内房	竹岡港	駅直下のアクセス難の小港、レア魚の魚影濃いが要注意
