slug	area_name	name	notes
# === 三浦半島 ===
abosaki	三浦半島	安房崎	城ヶ島南西端の地磯、クロダイ・メジナ・アオリイカ・青物向き
aburatsubo	三浦半島	油壷	静かな入り江、キス・マゴチ・アオリイカ・メジナ向き
aikuru	三浦半島	アイクル	追浜の護岸、足場良く手軽、アイナメ・アジ・メバル・カサゴ向き
akiya	三浦半島	秋谷海岸	立石公園近くの砂礫浜、キス・マゴチ・カレイ向き、比較的空いている
akiya-gyoko	三浦半島	秋谷漁港	磯と砂地が混在の小漁港、メジナ・クロダイ・アオリイカ向き
arai-ko	三浦半島	荒井港	長井地区の小漁港、キス・カレイ・メバル・クロダイ向き
arasaki	三浦半島	荒崎	荒崎公園一帯の一級磯、メジナ・クロダイ・アオリイカ向き
ashina-gyoko	三浦半島	芦名漁港	内外両向きで多魚種、アジ・クロダイ・アオリイカ向き
bishamon-tenka	三浦半島	毘沙門天下	毘沙門湾の荒磯、メジナ・クロダイ・アオリイカ向き
bonten-no-hana-tateishi-koen	三浦半島	梵天の鼻（立石公園）	奇岩地形の磯場、クロダイ・メジナ・カワハギ向き
chojakasaki	三浦半島	長者ヶ崎海岸	葉山・横須賀境の砂礫浜、キス・マゴチ・カレイ向き
hatsuse-gyoko	三浦半島	初声漁港	静かな港内ポイント、アジ・メバル・クロダイ向き
hayama-ko	三浦半島	葉山港	8:30〜17:00のみ一部釣可、メジナ・クロダイ・アジ・ワカシ向き
heisakugawa-kako	三浦半島	平作川河口	シーバス・アジングのメッカ、シーバス・ハゼ・クロダイ向き
isshiki	三浦半島	一色海岸（葉山）	海水浴シーズン外が主体、キス・マゴチ・アオリイカ・クロダイ向き
jogashima-ganpeki	三浦半島	城ヶ島岸壁	城ヶ島北西の岸壁、アジ・メバル・アオリイカ・青物向き
kamoi-ko	三浦半島	鴨居港	東京湾側の小漁港、ハゼ・アジ・シーバス・クロダイ向き
kamome-danchi	三浦半島	かもめ団地	横須賀の広い岸壁、アジ・サバ・タチウオ・シーバス向き
kaneda-gyoko	三浦半島	金田漁港	金田湾の小漁港、アジ・メバル・クロダイ向き
kaneda-kaigan	三浦半島	金田海岸	東京湾の砂浜サーフ、キス・カレイ・マゴチ向き
kannonyama-shita	三浦半島	観音山下	観音崎近くの地磯混じり護岸、クロダイ・メジナ向き
kannonzaki	三浦半島	観音崎	東京湾口の潮流強い地磯、クロダイ・メジナ・青物向き
kurihama	三浦半島	久里浜海岸	穏やかな東京湾の砂泥浜、キス・ハゼ・シーバス・カレイ向き
kurosaki-no-hana	三浦半島	黒崎の鼻	三浦南部の地磯、クロダイ・メジナ・アオリイカ向き
kuruwa-gyoko	三浦半島	久留和漁港	相模湾側の静かな小漁港、アジ・メバル・クロダイ向き
maguchi-gyoko	三浦半島	間口漁港	港内岸釣り禁止、剱崎隣の地磯・大浦海岸から入釣
manase-gyoko	三浦半島	真名瀬漁港	葉山の小漁港、左堤防立入禁止、クロダイ・アオリイカ・メバル向き
misaki-ko	三浦半島	三崎港	三浦半島最大の漁港、アジ・イカ・メジナ・クロダイ・青物向き
miura	三浦半島	三浦海岸	1km以上の白砂ビーチ、キス・マゴチ・ヒラメ・カレイ向き
morito	三浦半島	森戸海岸	遠浅の砂礫浜、キス・カレイ・マゴチ・シーバス向き、ボート釣り人気
moroi-so	三浦半島	諸磯	小磯と護岸が混在、クロダイ・メジナ・アオリイカ向き
nagai-ko	三浦半島	長井港	三浦西岸の大型港、アジ・カレイ・クロダイ・アオリイカ向き
nagatebana-goshuura	三浦半島	長手鼻・ゴーシュ浦	変化に富んだ磯場、クロダイ・メジナ・アオリイカ向き
nagatorozaki	三浦半島	長津呂崎	城ヶ島南西の潮通し良い岬、メジナ・クロダイ・青物向き
nojima-koen	三浦半島	野島公園	横浜の岸壁と浜の公園、クロダイ・メジナ・ハゼ・シーバス向き
nusuttogari	三浦半島	盗人狩	三浦半島屈指の一級地磯、大型メジナ・クロダイ・青物向き
ohama	三浦半島	大浜海岸	三崎漁港近く比較的空いた砂浜、キス・マゴチ向き
otsu-ko-shinteibo	三浦半島	大津港新堤防	横須賀の護岸堤防、アジ・サバ・シーバス・クロダイ向き
oura-kaigan	三浦半島	大浦海岸	油壷エリアの静かな砂浜、キス・マゴチ・アオリイカ向き
sarushima	三浦半島	猿島	渡船でアクセスの無人島磯、クロダイ・メジナ・アジ向き
shinjuku-ko	三浦半島	新宿港	長井地区の漁港、メバル・クロダイ・アジ向き
tonbi-iso	三浦半島	トンビ磯	大浜・長者ヶ崎境の磯混じり防波堤、クロダイ・メジナ向き
tsukui	三浦半島	津久井浜	広い砂浜サーフ、キス・マゴチ・ヒラメ・カレイ向き
tsurugizaki	三浦半島	剱崎	相模湾と東京湾の境界地磯、メジナ・クロダイ・青物向き
umibe-tsuri-koen	三浦半島	海辺つり公園	横須賀の無料釣り専用公園、アジ・サバ・カレイ・タチウオ向き
umikaze-koen	三浦半島	うみかぜ公園	平日のみ釣り可・土日祝釣禁、展望台4ヶ所は終日釣禁
uraga-ko	三浦半島	浦賀港	東京湾の古港、ハゼ・シーバス・クロダイ・アジ向き
urushiyama-ko	三浦半島	漆山港	長井地区の小漁港、キス・カレイ・メバル向き
wada-nagahama-kaigan	三浦半島	和田長浜海岸	三浦西岸の広い砂浜、キス・マゴチ・カレイ向き
yashikura-no-iso	三浦半島	屋志倉の磯	三浦南部の磯場、クロダイ・メジナ・アオリイカ向き
