slug	area_name	name	notes
# === 東京湾 ===
akatsuki-futo-koen	東京湾	暁ふ頭公園	潮通しよく水深5〜7m、シーバス・クロダイ・カレイ実績豊富
ariake-nishi-futo-koen	東京湾	有明西ふ頭公園	ビッグサイト隣接、投げ釣り禁止・落とし込みでクロダイ・シーバス向き
jonanjima-kaihin-koen	東京湾	城南島海浜公園	羽田対岸の潮通し良好ポイント、根掛かり多くウキ釣り・ルアー向き
kasai-rinkai-koen	東京湾	葛西臨海公園	日中のみ釣り可、ハゼ・カレイ・クロダイ向き、投げ釣りは禁止
keihinjima-tsubasa-koen	東京湾	京浜島つばさ公園	羽田空港対岸、1.2kmの護岸でシーバス・アジ・クロダイ・タチウオ向き
mizu-no-hiroba-koen	東京湾	水の広場公園	お台場の広大な護岸、シーバス・クロダイ・冬カレイの実績あり
oi-futo-chuo-kaihin-koen-nagisa-no-mori	東京湾	大井ふ頭中央海浜公園なぎさの森	京浜運河沿いの4エリア、夏ハゼ・シーバス・クロダイ向き
tokai-futo-koen	東京湾	東海ふ頭公園	京浜運河沿いの小公園、ハゼ・シーバス・ナイターカレイ向き
toyosu-gururi-koen	東京湾	豊洲ぐるり公園	豊洲市場外周4.5km、サビキ・シーバス・タチウオ・青物と魚種豊富
wakasu-kaihin-koen	東京湾	若洲海浜公園	570m防波堤と人工磯、アジ・クロダイ・シーバス・カレイ向きの都内最人気公園
