name	lat	lon	slug	notes	access	area
泉佐野食品コンビナート	0	0	izumisano-food-combinator	アジ・クロダイ・スズキ・タチウオが狙える人気釣り場。足場がよく初心者にも向く。		大阪湾
岸和田渡船利用一文字堤防	0	0	kishiwada-ichimonji	岸和田沖の一文字堤防。アジ・クロダイ・スズキ・ヒラメ・メバルが釣れる。渡船利用。		大阪湾
忠岡木材コンビナート	0	0	tadaoka-mokuzai	クロダイ・アジ・タチウオ・スズキが狙える工業地帯護岸。足場良好。		大阪湾
助松埠頭	0	0	sukematsu-futo	泉大津市の埠頭。アジ・クロダイ・スズキ・タチウオが狙える。夜釣りでタチウオが好調。		大阪湾
二色の浜海浜公園	0	0	nishiki-no-hama-park	貝塚市の海浜公園。シロギス・ハゼ・イシモチ・メバルが狙える。家族向け釣り場。		大阪湾
貝塚人工島	0	0	kaizuka-jinto	貝塚沖の人工島。アジ・クロダイ・スズキ・ヒラメ・アオリイカが狙える好ポイント。		大阪湾
泉佐野マリーナ周辺護岸	0	0	izumisano-marina-gokan	泉佐野市のマリーナ周辺護岸。アジ・サバ・メバル・クロダイが狙える。		大阪湾
樽井漁港	0	0	tarui-fishing-port	阪南市の漁港。アジ・クロダイ・メバル・カサゴが釣れる小規模な漁港。		大阪湾
尾崎漁港	0	0	ozaki-fishing-port	阪南市の漁港。アジ・クロダイ・スズキ・メバル・アオリイカが狙える。		大阪湾
箱作漁港	0	0	hakozukuri-fishing-port	阪南市の漁港。メバル・カサゴ・アジ・クロダイが釣れる。比較的空いた穴場漁港。		大阪湾
淡輪漁港	0	0	tannowa-fishing-port	岬町の漁港。アジ・クロダイ・メバル・アオリイカ・スズキが狙える和歌山県境近くの漁港。		大阪湾
深日漁港	0	0	fukahi-fishing-port	岬町の漁港。アジ・クロダイ・アオリイカ・メバル・カサゴが狙える大阪府最南端付近の漁港。		大阪湾
多奈川小島漁港	0	0	tanagawa-kojima-port	岬町の小漁港。アジ・メバル・カサゴ・クロダイが釣れる。落ち着いた釣り環境。		大阪湾
阪南港（箱の浦地区）	0	0	hannan-port-hakonoura	阪南市の港湾護岸。アジ・クロダイ・スズキ・イシモチが狙える。足場良好。		大阪湾
岸和田港	0	0	kishiwada-port	岸和田市の港湾。アジ・クロダイ・スズキ・タチウオが狙える。夜釣りにも対応。		大阪湾
泉大津人工島	0	0	izumiotsu-jinto	泉大津市沖の人工島。アジ・クロダイ・スズキ・タチウオが狙える。渡船または車でアクセス。		大阪湾
大阪南港魚釣り園	0	0	osaka-nanko-fishing-park	大阪市住之江区の公営釣り公園。アジ・クロダイ・スズキ・タチウオが狙える。有料釣り場。		大阪湾
舞洲緑地	0	0	maishima-ryokuchi	大阪市此花区の人工島緑地。アジ・スズキ・クロダイ・メバルが狙える。無料で足場良好。		大阪湾
夢洲	0	0	yumeshima	大阪市此花区の人工島。アジ・クロダイ・スズキ・タチウオが狙える。立入可能エリアに注意。		大阪湾
南港野鳥園周辺護岸	0	0	nanko-yachoen-gokan	大阪市住之江区。アジ・スズキ・クロダイが釣れる護岸。周辺環境への配慮が必要。		大阪湾
堺旧港（堺旧港緑地）	0	0	sakai-kyu-ko	堺市堺区の旧港緑地。アジ・スズキ・クロダイ・ハゼが狙える。市街地近く。		大阪湾
石津漁港	0	0	ishizu-fishing-port	堺市西区の漁港。アジ・クロダイ・スズキ・ハゼが釣れる。ファミリー向き。		大阪湾
浜寺公園前海岸	0	0	hamadera-park-kaigan	堺市西区の海浜エリア。シロギス・ハゼ・イシモチが狙える。浜釣りが楽しめる。		大阪湾
高石漁港	0	0	takaishi-fishing-port	高石市の漁港。アジ・クロダイ・スズキ・タチウオが狙える。夜釣りでタチウオ実績あり。		大阪湾
田尻漁港	0	0	tajiri-fishing-port	田尻町の漁港。アジ・クロダイ・メバル・アオリイカが狙える。関西空港島近くの漁港。		大阪湾
