name	lat	lon	slug	notes	access	area
岸和田漁港	0	0	kishiwada-ko	アジ、イサキ、タチウオが狙える大型漁港。堤防からのアクセス良好で初心者向け。混雑時は駐車場確保困難。		大阪湾
泉大津漁港	0	0	izumiotsu-ko	アジ、ハゼ、タチウオの好釣り場。護岸からの釣りが可能。潮通し良好で狙いやすい。		大阪湾
貝塚漁港	0	0	kaizuka-ko	クロダイ、アジ、ハゼが釣れる漁港。堤防が広く混雑が少ない。初心者向けスポット。		大阪湾
木積漁港	0	0	kizumi-ko	アジ、タチウオ、ハゼが狙える。地元利用者多いが釣果良好。潮通し良い場所。		大阪湾
淡輪漁港	0	0	tawara-ko	クロダイ、メバル、アジが狙える小型漁港。静かで初心者向け。陸奥湾の潮の影響受ける。		大阪湾
阪南漁港	0	0	hannan-ko	アジ、イサキ、タチウオが狙える。堤防が新しく釣りやすい。駐車場完備。		大阪湾
深日漁港	0	0	fukebe-ko	クロダイ、メバル、カサゴが狙える。磯のような地形で中級者向け。潮通し良好。		大阪湾
男里漁港	0	0	otoko-ko	アジ、ハゼ、タチウオが釣れる。堤防が長く釣座確保しやすい。初心者向け。		大阪湾
箱作漁港	0	0	hakosaku-ko	メバル、カサゴ、アジが狙える。潮通し良好で魚影濃い。混雑することもある。		大阪湾
樽井漁港	0	0	tarui-ko	ハゼ、アジ、タチウオが釣れる。堤防から気軽に釣りできる初心者向けスポット。		大阪湾
まつもと漁港	0	0	matsumoto-ko	クロダイ、メバル、カサゴが狙える。磯場が豊富。上級者向けの地形。		大阪湾
高松漁港	0	0	takamatsu-ko	アジ、イサキ、ハゼが釣れる。堤防が広く空いている。潮通し良好。		大阪湾
佐野漁港	0	0	sano-ko	クロダイ、メバル、タチウオが狙える。磯場も豊富。中級者向けスポット。		大阪湾
田中漁港	0	0	tanaka-ko	アジ、ハゼ、イサキが釣れる。小型漁港で混雑少なく初心者向け。		大阪湾
玉田漁港	0	0	tamada-ko	メバル、カサゴ、アジが狙える。潮通し良く魚影濃い。中級者向け。		大阪湾
下荘漁港	0	0	shimoso-ko	クロダイ、ハゼ、タチウオが釣れる。堤防釣りに最適。初心者向けスポット。		大阪湾
由良漁港	0	0	yura-ko	アジ、イサキ、ハゼが狙える。潮通し良好で有名。やや駐車場が狭い。		大阪湾
長磯漁港	0	0	nagaiso-ko	メバル、カサゴ、クロダイが狙える。磯場が多く中級者向け。		大阪湾
南港野鳥公園	0	0	nanko-yachou-koen	ハゼ、クロダイ、メバルが釣れる。公園内で環境良好。トイレあり有料公園。		大阪湾
なぎさ公園	0	0	nagisa-koen	ハゼ、クロダイ、スズキが狙える。整備された施設。駐車場完備で家族向け。		大阪湾
木材海岸	0	0	mokuzai-kaigan	ハゼ、クロダイ、ウミタナゴが釣れる。砂浜から堤防へのアクセス良好。		大阪湾
助松海岸	0	0	sukeomatsu-kaigan	ハゼ、アジ、クロダイが狙える。砂浜が広く初心者向け。潮通しやや弱い。		大阪湾
浜寺公園	0	0	hamadera-koen	ハゼ、クロダイ、ウミタナゴが釣れる。公園施設充実。有料駐車場。		大阪湾
泉南マーブルビーチ	0	0	sennan-marble-beach	ハゼ、クロダイが狙える。砂浜から堤防へアクセス可。有料施設。		大阪湾
関空南浜	0	0	kankuu-minami-hama	ハゼ、クロダイ、スズキが釣れる。広い砂浜。立入許可要。		大阪湾
田尻漁港	0	0	tajiri-ko	アジ、イサキ、ハゼが狙える。堤防釣りに最適。混雑少なく初心者向け。		大阪湾
泉佐野漁港	0	0	izumisano-ko	クロダイ、メバル、アジが釣れる。堤防が長く釣座多い。潮通し良好。		大阪湾
人工島西側	0	0	jinkoutou-nishi	スズキ、クロダイ、ハゼが狙える。潮通し良く魚影濃い。立入許可制。		大阪湾
淀川河口右岸	0	0	yodogawa-koukoku-ugan	スズキ、ハゼ、クロダイが釣れる。河口独特の釣り場。潮汐変化大。		大阪湾
淀川河口左岸	0	0	yodogawa-koukoku-sagan	スズキ、クロダイ、ハゼが狙える。磯場も豊富。潮汐の影響受けやすい。		大阪湾
木津川河口	0	0	kizugawa-koukoku	スズキ、ハゼ、クロダイが釣れる。河口特有の環境。潮位変化大きい。		大阪湾
東天満橋周辺	0	0	higashi-tenma-bashi	スズキ、ハゼが狙える。都市型釣り場。夜釣り可能な場所多い。		大阪湾
大阪城公園北側護岸	0	0	osakajo-kita-gogan	スズキ、ハゼが釣れる。景観良好。夜釣りが人気。夜間照明あり。		大阪湾
中之島公園東側	0	0	nakanoshima-koen-higashi	スズキ、ハゼが狙える。都市公園内。設備充実。夜釣り人気。		大阪湾
造幣局北側	0	0	zoheikyoku-kita	スズキ、ハゼ、クロダイが釣れる。河口特有の環境。潮汐変化著しい。		大阪湾
安治川右岸	0	0	ajikawa-ugan	スズキ、ハゼが狙える。都市河川の釣り場。夜釣り人気。		大阪湾
